MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
79.1	79.1	0.0	0.0	1.5	1	0
80.1	80.1	0.0	0.0	1.5	1	0
89.1	89.1	-0.1	0.0	1.5	1	0
98.0	98.0	-0.1	0.0	1.5	1	0
107.4	107.4	-0.1	0.0	1.5	1	0
116.0	116.0	-0.2	0.0	1.5	1	0
124.8	124.8	-0.2	0.0	1.5	1	0
142.7	142.7	-0.2	0.0	1.5	1	0
151.1	151.1	-0.2	0.0	1.5	1	0
168.5	168.5	-0.1	0.0	1.5	1	0
177.1	177.1	0.0	0.0	1.5	1	0
198.8	198.8	0.1	-0.1	1.5	1	0
207.6	207.6	0.2	-0.1	1.5	1	0
216.7	216.7	0.3	-0.1	1.5	1	0
225.6	225.6	0.4	-0.1	1.5	1	0
233.8	233.8	0.4	-0.1	1.5	1	0
243.0	243.0	0.5	-0.1	1.5	1	0
259.8	259.8	0.6	0.0	1.5	1	0
267.9	267.9	0.7	0.0	1.5	1	0
276.5	276.5	0.7	0.1	1.5	1	0
281.4	281.4	0.7	0.1	1.5	1	0
286.1	286.1	0.7	0.1	1.5	1	0
294.2	294.2	0.6	0.2	1.5	1	0
311.2	311.2	0.6	0.2	1.5	1	0
320.0	320.0	0.6	0.2	1.5	1	0
329.1	329.1	0.5	0.2	1.5	1	0
338.5	338.5	0.4	0.3	1.5	1	0
347.0	347.0	0.4	0.3	1.5	1	0
355.4	355.4	0.3	0.3	1.5	1	0
372.0	372.0	0.3	0.4	1.5	1	0
381.1	381.1	0.3	0.4	1.5	1	0
389.6	389.6	0.2	0.4	1.5	1	0
407.5	407.5	0.2	0.4	1.5	1	0
416.9	416.8	0.2	0.3	1.5	1	0
426.1	426.1	0.2	0.3	1.5	1	0
434.6	434.5	0.3	0.2	1.5	1	0
443.0	443.0	0.4	0.2	1.5	1	0
451.4	451.4	0.4	0.1	1.5	1	0
460.0	460.0	0.4	0.2	1.5	1	0
468.5	468.5	0.4	0.2	1.5	1	0
477.2	477.2	0.3	0.3	1.5	1	0
486.4	486.4	0.3	0.3	1.5	1	0
495.2	495.1	0.2	0.4	1.5	1	0
503.7	503.6	0.2	0.5	1.5	1	0
512.7	512.6	0.1	0.6	1.5	1	0
521.1	521.1	0.1	0.7	1.5	1	0
530.4	530.4	0.0	0.8	1.5	1	0
538.2	538.2	0.0	0.8	1.5	1	0
547.1	547.0	0.1	0.7	1.5	1	0
555.0	554.9	0.3	0.5	1.5	1	0
564.9	564.9	0.7	0.1	1.5	1	0
573.2	573.1	1.1	-0.2	1.5	1	0
581.8	581.7	1.5	-0.5	1.5	1	0
590.6	590.5	2.0	-0.8	1.5	1	0
599.2	599.1	2.7	-1.3	1.5	1	0
608.0	607.8	3.6	-1.9	1.5	1	0
616.9	616.6	4.6	-2.6	1.5	1	0
625.6	625.2	5.7	-3.3	1.5	1	0
634.4	633.9	6.9	-4.1	1.5	1	0
643.2	642.6	8.2	-4.9	1.5	1	0
