MD	TVD	North	East	Dia	Color	Style
0	0	0	0	1.5	1	0
30.5	30.5	0.0	0.0	1.5	1	0
61.0	61.0	0.0	0.0	1.5	1	0
91.4	91.4	0.0	0.0	1.5	1	0
109.1	109.1	0.0	0.0	1.5	1	0
121.9	121.9	0.0	0.0	1.5	1	0
152.4	152.4	0.0	0.0	1.5	1	0
162.2	162.2	0.0	0.0	1.5	1	0
182.9	182.9	0.0	0.0	1.5	1	0
198.1	198.1	0.0	0.0	1.5	1	0
213.4	213.4	0.0	0.1	1.5	1	0
243.8	243.8	0.1	0.6	1.5	1	0
274.3	274.3	0.2	1.6	1.5	1	0
289.6	289.5	0.3	2.4	1.5	1	0
304.8	304.7	0.4	3.2	1.5	1	0
335.3	335.2	0.6	4.8	1.5	1	0
365.9	365.8	0.8	6.3	1.5	1	0
396.2	396.1	1.0	7.9	1.5	1	0
426.7	426.5	1.2	9.2	1.5	1	0
457.2	457.0	1.3	10.0	1.5	1	0
487.7	487.4	1.4	10.3	1.5	1	0
518.2	517.9	1.4	10.3	1.5	1	0
548.6	548.4	1.4	10.3	1.5	1	0
579.1	578.9	1.4	10.3	1.5	1	0
609.6	609.4	1.4	10.3	1.5	1	0
640.1	639.8	1.4	10.8	1.5	1	0
670.6	670.3	1.6	12.4	1.5	1	0
701.0	700.6	2.0	15.0	1.5	1	0
731.5	730.9	2.5	18.7	1.5	1	0
762.0	761.0	3.1	23.4	1.5	1	0
792.5	790.9	3.9	29.2	1.5	1	0
823.0	820.6	4.8	36.0	1.5	1	0
853.4	850.1	5.8	43.8	1.5	1	0
883.9	879.2	6.9	52.6	1.5	1	0
914.4	908.0	8.3	62.5	1.5	1	0
944.9	936.5	9.7	73.3	1.5	1	0
975.4	964.5	11.2	85.1	1.5	1	0
1005.8	992.2	13.0	97.9	1.5	1	0
1036.3	1019.3	14.8	111.6	1.5	1	0
1066.8	1046.0	16.7	126.2	1.5	1	0
1097.3	1072.1	18.7	141.8	1.5	1	0
1127.8	1097.6	20.9	158.3	1.5	1	0
1158.2	1122.6	23.2	175.6	1.5	1	0
1188.7	1147.0	25.6	193.8	1.5	1	0
1219.2	1170.6	28.1	212.8	1.5	1	0
1249.7	1193.7	30.8	232.6	1.5	1	0
1275.4	1212.5	33.0	250.0	1.5	1	0
1280.2	1215.9	33.5	253.2	1.5	1	0
1310.6	1238.0	36.2	274.1	1.5	1	0
1341.1	1260.0	39.0	295.0	1.5	1	0
1371.6	1282.0	41.8	315.8	1.5	1	0
1402.1	1304.1	44.5	336.7	1.5	1	0
1432.6	1326.2	47.3	357.6	1.5	1	0
1463.0	1348.2	50.0	378.5	1.5	1	0
1493.5	1370.2	52.8	399.3	1.5	1	0
1495.4	1371.6	52.9	400.6	1.5	1	0
1524.0	1392.3	55.5	420.2	1.5	1	0
1554.5	1414.3	58.3	441.1	1.5	1	0
1585.0	1436.3	61.1	462.0	1.5	1	0
1615.4	1458.4	63.8	482.8	1.5	1	0
1645.9	1480.4	66.6	503.7	1.5	1	0
1676.4	1502.5	69.3	524.6	1.5	1	0
1706.9	1524.5	72.1	545.4	1.5	1	0
1737.4	1546.6	74.9	566.3	1.5	1	0
1767.8	1568.6	77.6	587.2	1.5	1	0
1798.3	1590.6	80.4	608.1	1.5	1	0
1822.5	1608.1	82.6	624.7	1.5	1	0
1828.8	1612.7	83.1	628.9	1.5	1	0
1853.0	1630.2	85.3	645.5	1.5	1	0
1859.3	1634.7	85.9	649.8	1.5	1	0
1864.7	1638.6	86.3	653.6	1.5	1	0
1889.8	1656.6	88.0	671.0	1.5	1	0
1920.2	1678.1	89.1	692.5	1.5	1	0
1950.7	1699.4	89.3	714.3	1.5	1	0
1981.2	1720.3	88.5	736.5	1.5	1	0
2011.7	1740.8	86.7	759.0	1.5	1	0
2018.8	1745.6	86.2	764.3	1.5	1	0
2042.2	1761.1	84.3	781.6	1.5	1	0
2072.6	1781.3	81.9	804.2	1.5	1	0
2103.1	1801.6	79.4	826.9	1.5	1	0
2133.6	1821.8	77.0	849.5	1.5	1	0
2164.1	1842.1	74.6	872.2	1.5	1	0
2194.6	1862.3	72.1	894.8	1.5	1	0
2225.0	1882.6	69.6	917.5	1.5	1	0
2255.5	1902.8	67.2	940.1	1.5	1	0
2286.0	1923.1	64.8	962.8	1.5	1	0
2316.5	1943.3	62.3	985.4	1.5	1	0
2347.0	1963.6	59.9	1008.1	1.5	1	0
2377.4	1983.9	57.4	1030.7	1.5	1	0
2407.9	2004.1	55.0	1053.4	1.5	1	0
2438.4	2024.3	52.5	1076.0	1.5	1	0
2468.9	2044.6	50.1	1098.7	1.5	1	0
2499.4	2064.8	47.6	1121.3	1.5	1	0
2529.8	2085.1	45.2	1143.9	1.5	1	0
2560.3	2105.3	42.8	1166.6	1.5	1	0
2590.8	2125.6	40.3	1189.2	1.5	1	0
2621.3	2145.9	37.9	1211.9	1.5	1	0
2651.8	2166.1	35.4	1234.5	1.5	1	0
2682.2	2186.4	33.0	1257.2	1.5	1	0
2712.7	2206.6	30.5	1279.8	1.5	1	0
2743.2	2226.9	28.1	1302.5	1.5	1	0
2773.7	2247.1	25.7	1325.1	1.5	1	0
2804.2	2267.4	23.2	1347.8	1.5	1	0
2834.6	2287.6	20.8	1370.4	1.5	1	0
2865.1	2307.9	18.3	1393.1	1.5	1	0
2895.6	2328.1	15.9	1415.7	1.5	1	0
2926.1	2348.4	13.4	1438.4	1.5	1	0
2956.6	2368.6	11.0	1461.0	1.5	1	0
2987.0	2388.9	8.5	1483.6	1.5	1	0
3017.5	2409.1	6.1	1506.3	1.5	1	0
3048.0	2429.4	3.7	1528.9	1.5	1	0
3078.5	2449.6	1.2	1551.6	1.5	1	0
3109.0	2469.9	-1.2	1574.2	1.5	1	0
3139.4	2490.2	-3.7	1596.9	1.5	1	0
3169.9	2510.4	-6.1	1619.5	1.5	1	0
3200.4	2530.7	-8.6	1642.2	1.5	1	0
3230.9	2550.9	-11.0	1664.8	1.5	1	0
3261.4	2571.2	-13.4	1687.5	1.5	1	0
3291.8	2591.4	-15.9	1710.1	1.5	1	0
3322.3	2611.6	-18.3	1732.8	1.5	1	0
3352.8	2631.9	-20.8	1755.4	1.5	1	0
3383.3	2652.2	-23.2	1778.1	1.5	1	0
3413.8	2672.4	-25.7	1800.7	1.5	1	0
3444.2	2692.7	-28.1	1823.3	1.5	1	0
3474.7	2712.9	-30.6	1846.0	1.5	1	0
3505.2	2733.2	-33.0	1868.6	1.5	1	0
3535.7	2753.4	-35.4	1891.3	1.5	1	0
3566.2	2773.7	-37.9	1913.9	1.5	1	0
3596.6	2793.9	-40.4	1936.6	1.5	1	0
3627.1	2814.2	-42.8	1959.2	1.5	1	0
3657.6	2834.4	-45.2	1981.9	1.5	1	0
3688.1	2854.7	-47.7	2004.5	1.5	1	0
3718.6	2874.9	-50.1	2027.2	1.5	1	0
3749.0	2895.2	-52.6	2049.8	1.5	1	0
3779.5	2915.4	-55.0	2072.5	1.5	1	0
3810.0	2935.7	-57.5	2095.1	1.5	1	0
3840.5	2956.0	-59.9	2117.8	1.5	1	0
3864.2	2971.7	-61.8	2135.4	1.5	1	0
3871.0	2976.2	-62.3	2140.4	1.5	1	0
3901.4	2996.5	-64.8	2163.1	1.5	1	0
3931.9	3016.7	-67.2	2185.7	1.5	1	0
3934.1	3018.1	-67.4	2187.3	1.5	1	0
3962.4	3037.0	-69.7	2208.4	1.5	1	0
3964.6	3038.4	-69.9	2210.0	1.5	1	0
3992.9	3057.5	-72.3	2230.7	1.5	1	0
3995.2	3059.1	-72.5	2232.4	1.5	1	0
4023.4	3078.4	-75.2	2252.7	1.5	1	0
4053.8	3099.4	-78.1	2274.6	1.5	1	0
4084.3	3120.3	-81.0	2296.6	1.5	1	0
4114.8	3141.3	-83.9	2318.6	1.5	1	0
4145.3	3162.2	-86.8	2340.5	1.5	1	0
4152.5	3167.2	-87.5	2345.7	1.5	1	0
4175.8	3183.1	-89.7	2362.5	1.5	1	0
4183.0	3188.1	-90.4	2367.7	1.5	1	0
4206.2	3204.3	-92.6	2384.2	1.5	1	0
4236.7	3226.2	-95.3	2405.2	1.5	1	0
4267.2	3248.8	-98.0	2425.5	1.5	1	0
4297.7	3272.1	-100.6	2445.0	1.5	1	0
4309.6	3281.4	-101.6	2452.4	1.5	1	0
4328.2	3296.0	-103.1	2463.7	1.5	1	0
4338.8	3304.3	-104.0	2470.3	1.5	1	0
4358.6	3319.9	-105.6	2482.5	1.5	1	0
4369.2	3328.3	-106.5	2489.0	1.5	1	0
4389.1	3344.0	-108.1	2501.0	1.5	1	0
4419.6	3368.6	-110.4	2518.8	1.5	1	0
4450.1	3393.9	-112.6	2535.7	1.5	1	0
4451.8	3395.4	-112.7	2536.6	1.5	1	0
4480.6	3419.5	-114.8	2552.1	1.5	1	0
4511.0	3445.1	-116.9	2568.5	1.5	1	0
4541.5	3470.7	-119.0	2584.9	1.5	1	0
4572.0	3496.3	-121.2	2601.3	1.5	1	0
4592.0	3513.1	-122.6	2612.1	1.5	1	0
4602.5	3521.9	-123.3	2617.7	1.5	1	0
4633.0	3547.5	-125.5	2634.1	1.5	1	0
4663.4	3573.0	-127.6	2650.6	1.5	1	0
4664.6	3574.0	-127.7	2651.2	1.5	1	0
