MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	2.5	1	0
107.3	107.3	0.3	0.0	2.5	1	0
121.9	121.9	0.4	0.0	2.5	1	0
152.4	152.4	0.9	-0.1	2.5	1	0
182.9	182.8	1.6	-0.3	2.5	1	0
202.4	202.4	2.2	-0.5	2.5	1	0
230.7	230.7	3.0	-0.5	2.5	1	0
259.7	259.7	3.6	-0.5	2.5	1	0
288.6	288.6	3.6	-0.5	2.5	1	0
317.6	317.6	3.3	-0.6	2.5	1	0
346.6	346.5	2.9	-0.7	2.5	1	0
375.8	375.8	2.4	-0.8	2.5	1	0
404.8	404.7	2.0	-0.9	2.5	1	0
433.7	433.7	1.5	-0.9	2.5	1	0
462.7	462.6	1.0	-1.1	2.5	1	0
491.6	491.6	0.6	-0.9	2.5	1	0
520.6	520.5	0.5	0.2	2.5	1	0
549.6	549.3	1.1	2.9	2.5	1	0
578.2	577.7	2.3	7.0	2.5	1	0
620.0	618.7	4.3	14.2	2.5	1	0
648.9	647.1	5.5	20.0	2.5	1	0
677.9	675.2	6.4	26.8	2.5	1	0
694.0	690.8	6.7	30.9	2.5	1	0
751.9	746.8	6.8	45.9	2.5	1	0
794.0	787.1	5.2	57.7	2.5	1	0
823.0	814.5	3.7	66.8	2.5	1	0
851.9	841.8	1.7	76.3	2.5	1	0
880.9	868.9	-0.9	86.3	2.5	1	0
909.5	895.4	-3.7	96.8	2.5	1	0
938.5	921.8	-6.6	108.3	2.5	1	0
967.1	947.6	-10.0	120.2	2.5	1	0
996.1	973.3	-13.4	133.0	2.5	1	0
1025.0	998.8	-16.1	146.6	2.5	1	0
1054.0	1023.7	-18.2	161.2	2.5	1	0
1083.0	1048.0	-19.7	176.8	2.5	1	0
1111.9	1071.5	-20.9	193.7	2.5	1	0
1140.9	1094.4	-22.4	211.4	2.5	1	0
1169.8	1117.0	-24.3	229.4	2.5	1	0
1198.8	1139.3	-26.4	247.8	2.5	1	0
1228.0	1161.0	-28.7	267.3	2.5	1	0
1257.0	1181.9	-31.5	287.1	2.5	1	0
1286.0	1202.4	-34.8	307.3	2.5	1	0
1314.9	1222.2	-37.8	328.2	2.5	1	0
1327.4	1230.5	-39.1	337.4	2.5	1	0
1341.1	1239.7	-40.8	347.5	2.5	1	0
1357.9	1250.7	-43.2	359.8	2.5	1	0
1371.6	1259.8	-45.4	369.9	2.5	1	0
1388.4	1270.9	-48.1	382.2	2.5	1	0
1402.1	1279.9	-50.4	392.2	2.5	1	0
1432.6	1300.3	-56.1	414.2	2.5	1	0
1463.0	1320.9	-62.8	435.6	2.5	1	0
1493.5	1341.7	-70.3	456.6	2.5	1	0
1524.0	1362.7	-78.8	477.0	2.5	1	0
1554.5	1383.9	-88.2	496.8	2.5	1	0
1585.0	1405.2	-98.4	516.1	2.5	1	0
1615.4	1426.5	-109.5	534.7	2.5	1	0
1645.9	1448.0	-121.5	552.8	2.5	1	0
1676.4	1469.5	-134.3	570.1	2.5	1	0
1706.9	1491.1	-147.9	586.8	2.5	1	0
1737.4	1512.6	-162.4	602.9	2.5	1	0
1767.8	1534.1	-177.6	618.1	2.5	1	0
1798.3	1555.6	-193.6	632.7	2.5	1	0
1828.8	1577.0	-210.3	646.5	2.5	1	0
1859.3	1598.3	-227.8	659.6	2.5	1	0
1889.8	1619.4	-246.0	671.8	2.5	1	0
1920.2	1640.4	-264.9	683.3	2.5	1	0
1950.7	1661.3	-284.4	694.0	2.5	1	0
1981.2	1681.9	-304.6	703.8	2.5	1	0
2011.7	1702.3	-325.4	712.8	2.5	1	0
2042.2	1722.4	-346.8	720.9	2.5	1	0
2072.6	1742.2	-368.7	728.2	2.5	1	0
2103.1	1761.8	-391.2	734.7	2.5	1	0
2133.6	1781.0	-414.2	740.2	2.5	1	0
2164.1	1799.8	-437.7	744.9	2.5	1	0
2194.6	1818.3	-461.7	748.7	2.5	1	0
2225.0	1836.4	-486.0	751.6	2.5	1	0
2240.8	1845.6	-498.7	752.7	2.5	1	0
2255.5	1854.2	-510.7	753.7	2.5	1	0
2286.0	1871.8	-535.5	755.7	2.5	1	0
2316.5	1889.5	-560.2	757.7	2.5	1	0
2347.0	1907.2	-585.0	759.7	2.5	1	0
2377.4	1924.8	-609.8	761.6	2.5	1	0
2407.9	1942.5	-634.5	763.6	2.5	1	0
2438.4	1960.1	-659.3	765.6	2.5	1	0
2468.9	1977.8	-684.0	767.6	2.5	1	0
2499.4	1995.5	-708.8	769.6	2.5	1	0
2529.8	2013.1	-733.5	771.6	2.5	1	0
2560.3	2030.8	-758.3	773.6	2.5	1	0
2590.8	2048.5	-783.1	775.6	2.5	1	0
2621.3	2066.1	-807.8	777.5	2.5	1	0
2651.8	2083.8	-832.6	779.5	2.5	1	0
2682.2	2101.5	-857.3	781.5	2.5	1	0
2712.7	2119.1	-882.1	783.5	2.5	1	0
2743.2	2136.8	-906.8	785.5	2.5	1	0
2773.7	2154.5	-931.6	787.5	2.5	1	0
2804.2	2172.1	-956.4	789.5	2.5	1	0
2834.6	2189.8	-981.1	791.4	2.5	1	0
2865.1	2207.5	-1005.9	793.5	2.5	1	0
2895.6	2225.1	-1030.7	795.4	2.5	1	0
2926.1	2242.8	-1055.4	797.4	2.5	1	0
2956.6	2260.5	-1080.2	799.4	2.5	1	0
2987.0	2278.1	-1104.9	801.4	2.5	1	0
3017.5	2295.8	-1129.7	803.4	2.5	1	0
3048.0	2313.5	-1154.5	805.4	2.5	1	0
3078.5	2331.1	-1179.2	807.4	2.5	1	0
3109.0	2348.8	-1204.0	809.3	2.5	1	0
3139.4	2366.4	-1228.7	811.3	2.5	1	0
3169.9	2384.1	-1253.5	813.3	2.5	1	0
3200.4	2401.8	-1278.2	815.3	2.5	1	0
3230.9	2419.4	-1303.0	817.3	2.5	1	0
3261.4	2437.1	-1327.8	819.3	2.5	1	0
3291.8	2454.8	-1352.5	821.3	2.5	1	0
3297.8	2458.2	-1357.4	821.7	2.5	1	0
3322.3	2472.2	-1377.4	823.1	2.5	1	0
3352.8	2489.1	-1402.8	824.6	2.5	1	0
3383.3	2505.3	-1428.5	825.7	2.5	1	0
3413.8	2520.9	-1454.7	826.4	2.5	1	0
3444.2	2535.8	-1481.3	826.7	2.5	1	0
3474.7	2550.1	-1508.2	826.6	2.5	1	0
3483.3	2554.0	-1515.9	826.6	2.5	1	0
3505.2	2563.7	-1535.5	826.6	2.5	1	0
3535.7	2576.5	-1563.2	827.7	2.5	1	0
3566.2	2588.5	-1591.1	830.1	2.5	1	0
3596.6	2599.6	-1619.2	833.6	2.5	1	0
3627.1	2609.9	-1647.5	838.4	2.5	1	0
3657.6	2619.3	-1675.9	844.4	2.5	1	0
3688.1	2627.8	-1704.3	851.6	2.5	1	0
3718.6	2635.4	-1732.6	859.9	2.5	1	0
3749.0	2642.0	-1760.8	869.4	2.5	1	0
3779.5	2647.7	-1788.7	880.0	2.5	1	0
3810.0	2652.3	-1816.5	891.8	2.5	1	0
3824.6	2654.2	-1829.6	897.8	2.5	1	0
3840.5	2656.2	-1843.9	904.4	2.5	1	0
3871.0	2659.9	-1871.4	917.2	2.5	1	0
3902.3	2663.7	-1899.5	930.4	2.5	1	0
3914.6	2665.2	-1910.6	935.5	2.5	1	0
