MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
110.3	110.3	-0.3	-0.5	1.5	1	0
110.6	110.6	-0.3	-0.5	1.5	1	0
121.9	121.9	-0.3	-0.7	1.5	1	0
152.4	152.4	-0.5	-1.5	1.5	1	0
182.9	182.8	-0.9	-2.9	1.5	1	0
193.5	193.5	-1.1	-3.5	1.5	1	0
194.5	194.4	-1.1	-3.5	1.5	1	0
203.6	203.5	-1.2	-4.0	1.5	1	0
239.0	238.9	-0.9	-6.2	1.5	1	0
266.9	266.7	0.5	-7.8	1.5	1	0
288.3	288.0	2.1	-8.8	1.5	1	0
295.1	294.8	2.6	-9.0	1.5	1	0
325.0	324.6	5.2	-9.2	1.5	1	0
354.4	353.8	7.5	-8.4	1.5	1	0
383.0	382.3	9.0	-6.8	1.5	1	0
412.5	411.8	9.8	-4.7	1.5	1	0
441.6	440.8	10.2	-2.5	1.5	1	0
471.0	470.1	10.5	-0.4	1.5	1	0
500.1	499.1	10.8	1.6	1.5	1	0
529.3	528.3	11.0	3.6	1.5	1	0
558.7	557.6	11.3	4.9	1.5	1	0
588.3	587.2	11.6	5.3	1.5	1	0
646.2	645.1	12.0	5.1	1.5	1	0
704.5	703.4	12.5	4.7	1.5	1	0
762.9	761.8	13.0	4.5	1.5	1	0
821.8	820.8	13.6	4.4	1.5	1	0
879.4	878.3	13.8	4.5	1.5	1	0
937.6	936.6	13.6	4.9	1.5	1	0
996.1	995.0	13.4	5.2	1.5	1	0
1054.0	1052.9	13.2	5.4	1.5	1	0
1113.1	1112.0	13.0	5.6	1.5	1	0
1171.5	1170.4	12.7	6.1	1.5	1	0
1230.3	1229.2	12.5	6.7	1.5	1	0
1287.7	1286.7	12.5	7.1	1.5	1	0
1346.7	1345.6	12.5	7.5	1.5	1	0
1404.7	1403.6	12.5	8.0	1.5	1	0
1463.4	1462.3	12.5	8.4	1.5	1	0
1522.2	1521.1	12.5	8.9	1.5	1	0
1558.8	1557.7	12.5	9.2	1.5	1	0
1577.9	1576.9	12.5	9.4	1.5	1	0
1611.0	1609.9	12.4	9.6	1.5	1	0
1668.6	1667.5	12.4	9.8	1.5	1	0
1726.4	1725.3	12.4	9.8	1.5	1	0
1784.5	1783.4	12.4	9.8	1.5	1	0
1842.9	1841.8	12.4	9.8	1.5	1	0
1901.8	1900.7	12.4	9.8	1.5	1	0
1960.3	1959.2	12.4	9.8	1.5	1	0
2018.7	2017.6	12.5	9.7	1.5	1	0
2077.1	2076.0	12.5	9.7	1.5	1	0
2135.3	2134.2	12.6	9.7	1.5	1	0
2194.0	2192.9	12.6	9.7	1.5	1	0
2252.6	2251.5	12.7	9.7	1.5	1	0
2310.3	2309.1	12.8	9.7	1.5	1	0
2368.8	2367.7	12.8	9.7	1.5	1	0
2427.2	2426.1	12.7	9.7	1.5	1	0
2485.6	2484.4	12.7	9.7	1.5	1	0
2544.5	2543.3	12.7	9.6	1.5	1	0
2573.8	2572.7	12.8	9.5	1.5	1	0
2601.8	2600.6	12.9	9.5	1.5	1	0
2632.5	2631.4	13.2	9.4	1.5	1	0
2661.6	2660.5	13.9	10.1	1.5	1	0
2690.4	2689.2	15.1	11.9	1.5	1	0
2719.1	2717.7	16.5	14.7	1.5	1	0
2748.2	2746.6	18.0	18.6	1.5	1	0
2776.9	2774.7	19.4	23.7	1.5	1	0
2806.6	2803.7	20.7	29.9	1.5	1	0
2836.0	2832.2	21.6	36.9	1.5	1	0
2865.2	2860.3	22.3	44.9	1.5	1	0
