MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
36.4	36.4	-0.1	-0.1	1.5	1	0
64.2	64.2	-0.3	-0.2	1.5	1	0
92.5	92.5	-0.6	-0.4	1.5	1	0
119.9	119.9	-1.1	-0.5	1.5	1	0
147.4	147.4	-1.5	-0.6	1.5	1	0
174.8	174.8	-1.9	-0.6	1.5	1	0
202.2	202.2	-2.5	-0.5	1.5	1	0
229.7	229.6	-3.3	-0.4	1.5	1	0
257.1	257.1	-4.1	-0.5	1.5	1	0
284.5	284.5	-4.8	-1.0	1.5	1	0
312.0	311.9	-5.5	-1.6	1.5	1	0
339.4	339.3	-6.0	-2.2	1.5	1	0
366.8	366.7	-6.6	-2.7	1.5	1	0
394.3	394.2	-7.0	-3.2	1.5	1	0
421.7	421.6	-7.3	-3.7	1.5	1	0
449.1	449.0	-7.6	-4.1	1.5	1	0
476.6	476.4	-7.8	-4.5	1.5	1	0
504.0	503.9	-8.1	-5.0	1.5	1	0
531.4	531.3	-8.4	-5.4	1.5	1	0
558.9	558.7	-8.6	-5.8	1.5	1	0
586.3	586.2	-8.9	-6.1	1.5	1	0
613.7	613.6	-9.1	-6.2	1.5	1	0
668.6	668.4	-9.7	-6.0	1.5	1	0
696.0	695.9	-10.1	-5.8	1.5	1	0
723.4	723.3	-10.5	-5.6	1.5	1	0
733.2	733.0	-10.7	-5.5	1.5	1	0
762.9	762.8	-11.4	-5.4	1.5	1	0
766.0	765.8	-11.5	-5.4	1.5	1	0
794.9	794.7	-12.1	-5.5	1.5	1	0
823.9	823.7	-12.9	-5.7	1.5	1	0
852.5	852.3	-13.4	-6.3	1.5	1	0
881.5	881.2	-13.8	-7.8	1.5	1	0
910.4	910.1	-14.1	-9.9	1.5	1	0
939.4	939.0	-14.7	-12.6	1.5	1	0
968.3	967.8	-15.1	-15.3	1.5	1	0
997.0	996.3	-15.2	-18.1	1.5	1	0
1026.0	1025.1	-15.3	-20.8	1.5	1	0
1054.6	1053.6	-15.3	-23.7	1.5	1	0
1083.6	1082.4	-15.3	-26.6	1.5	1	0
1112.2	1110.9	-15.3	-29.5	1.5	1	0
1140.9	1139.5	-15.3	-32.2	1.5	1	0
1169.8	1168.3	-15.6	-34.4	1.5	1	0
1198.8	1197.2	-16.2	-36.3	1.5	1	0
1227.4	1225.8	-16.6	-38.0	1.5	1	0
1256.1	1254.4	-16.9	-39.4	1.5	1	0
1285.0	1283.4	-17.1	-40.8	1.5	1	0
1313.7	1312.0	-17.3	-41.8	1.5	1	0
1342.6	1340.9	-17.4	-42.8	1.5	1	0
1371.6	1369.9	-17.5	-43.7	1.5	1	0
1400.6	1398.8	-17.5	-44.4	1.5	1	0
1429.2	1427.4	-17.4	-45.4	1.5	1	0
1458.2	1456.4	-17.3	-46.7	1.5	1	0
1486.8	1485.0	-17.0	-47.7	1.5	1	0
1515.8	1513.9	-16.9	-49.0	1.5	1	0
1544.4	1542.5	-17.0	-50.5	1.5	1	0
1573.4	1571.5	-17.0	-51.4	1.5	1	0
1602.0	1600.1	-17.1	-52.7	1.5	1	0
1631.0	1629.0	-17.2	-54.3	1.5	1	0
1659.6	1657.6	-17.3	-56.1	1.5	1	0
1688.6	1686.5	-17.3	-58.3	1.5	1	0
1717.5	1715.4	-17.4	-60.0	1.5	1	0
1746.2	1743.9	-17.7	-62.1	1.5	1	0
1775.2	1772.8	-18.2	-64.5	1.5	1	0
1804.1	1801.7	-18.9	-66.6	1.5	1	0
1832.8	1830.3	-19.4	-68.5	1.5	1	0
1861.4	1858.9	-19.9	-70.3	1.5	1	0
1890.4	1887.7	-20.4	-72.4	1.5	1	0
1919.0	1916.3	-20.8	-74.3	1.5	1	0
1947.7	1944.9	-21.1	-75.9	1.5	1	0
1976.6	1973.8	-21.4	-77.6	1.5	1	0
2005.6	2002.7	-21.8	-79.8	1.5	1	0
2034.2	2031.2	-22.3	-82.0	1.5	1	0
2063.2	2060.1	-22.9	-84.1	1.5	1	0
2091.8	2088.7	-23.4	-86.1	1.5	1	0
2120.8	2117.6	-23.8	-88.3	1.5	1	0
2149.4	2146.1	-24.0	-90.7	1.5	1	0
2178.4	2175.0	-24.3	-93.0	1.5	1	0
2207.4	2203.9	-24.6	-95.1	1.5	1	0
2236.0	2232.4	-24.8	-97.2	1.5	1	0
2265.0	2261.3	-25.0	-99.2	1.5	1	0
2293.9	2290.2	-25.2	-101.1	1.5	1	0
2322.6	2318.8	-25.2	-103.0	1.5	1	0
2351.5	2347.7	-25.1	-105.0	1.5	1	0
2380.5	2376.6	-25.3	-107.2	1.5	1	0
