MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
50.7	50.7	0.1	0.1	1.5	1	0
61.5	61.5	0.1	0.1	1.5	1	0
80.0	80.0	0.1	0.1	1.5	1	0
98.4	98.4	0.1	0.1	1.5	1	0
116.7	116.7	0.2	0.1	1.5	1	0
144.2	144.2	0.4	0.2	1.5	1	0
163.1	163.1	0.8	0.2	1.5	1	0
191.5	191.4	2.0	0.9	1.5	1	0
221.0	220.9	4.5	2.3	1.5	1	0
250.1	249.7	8.3	3.9	1.5	1	0
279.3	278.1	13.9	6.2	1.5	1	0
308.5	306.4	21.1	9.2	1.5	1	0
337.6	333.9	30.0	11.9	1.5	1	0
366.4	360.7	40.2	14.2	1.5	1	0
385.5	378.3	47.5	15.5	1.5	1	0
414.6	404.9	59.2	17.7	1.5	1	0
444.3	431.7	71.6	19.9	1.5	1	0
473.3	458.0	83.9	22.0	1.5	1	0
502.7	484.6	96.2	23.8	1.5	1	0
532.0	511.1	108.5	25.5	1.5	1	0
561.2	537.3	121.4	27.4	1.5	1	0
590.2	562.6	135.2	29.3	1.5	1	0
619.5	587.6	150.4	31.2	1.5	1	0
648.3	611.4	166.6	33.2	1.5	1	0
677.7	634.6	184.5	35.2	1.5	1	0
687.8	642.4	190.9	35.8	1.5	1	0
708.7	658.1	204.6	36.9	1.5	1	0
737.1	678.7	224.2	38.2	1.5	1	0
766.2	698.3	245.6	39.2	1.5	1	0
795.4	716.2	268.7	40.0	1.5	1	0
824.9	732.7	293.1	40.7	1.5	1	0
854.1	747.6	318.3	41.8	1.5	1	0
882.9	760.9	343.7	43.3	1.5	1	0
911.9	773.2	369.8	45.0	1.5	1	0
940.8	784.4	396.5	46.9	1.5	1	0
970.1	794.3	424.0	48.8	1.5	1	0
999.6	802.6	452.2	50.9	1.5	1	0
1028.4	808.8	480.2	53.2	1.5	1	0
1057.8	813.3	509.2	55.8	1.5	1	0
1087.2	817.1	538.2	58.3	1.5	1	0
1116.1	820.9	566.8	60.6	1.5	1	0
1145.4	824.8	595.7	62.7	1.5	1	0
1174.9	828.8	624.8	64.8	1.5	1	0
1203.9	832.7	653.6	66.8	1.5	1	0
1233.1	836.6	682.4	68.8	1.5	1	0
1262.1	840.5	711.1	70.7	1.5	1	0
1291.3	844.4	739.9	72.6	1.5	1	0
1320.5	848.4	768.8	74.6	1.5	1	0
1350.3	852.4	798.3	76.6	1.5	1	0
1379.5	856.4	827.2	78.6	1.5	1	0
1408.1	860.3	855.4	80.4	1.5	1	0
1437.5	864.2	884.5	82.1	1.5	1	0
1466.4	868.1	913.2	83.6	1.5	1	0
1495.3	871.8	941.7	85.1	1.5	1	0
1524.8	875.3	970.9	86.7	1.5	1	0
1553.8	878.8	999.7	88.6	1.5	1	0
1583.1	882.2	1028.7	90.9	1.5	1	0
1612.2	885.7	1057.5	93.2	1.5	1	0
1641.5	889.1	1086.5	95.6	1.5	1	0
1670.5	892.5	1115.2	98.0	1.5	1	0
1699.6	895.9	1144.0	100.4	1.5	1	0
1728.8	899.4	1172.9	102.7	1.5	1	0
1757.9	902.9	1201.8	104.8	1.5	1	0
1787.4	906.6	1231.0	106.5	1.5	1	0
1816.3	910.6	1259.6	107.4	1.5	1	0
1844.9	914.7	1287.8	107.1	1.5	1	0
1874.4	919.0	1317.0	105.6	1.5	1	0
1903.8	923.2	1346.0	103.6	1.5	1	0
1933.3	927.4	1375.1	101.5	1.5	1	0
1962.0	931.5	1403.4	99.6	1.5	1	0
1990.8	935.6	1432.0	97.9	1.5	1	0
2020.0	939.9	1460.8	96.7	1.5	1	0
2049.3	944.1	1489.7	96.0	1.5	1	0
2078.1	948.3	1518.3	95.4	1.5	1	0
2106.7	952.3	1546.6	94.9	1.5	1	0
2136.0	956.6	1575.6	94.2	1.5	1	0
2163.3	960.6	1602.5	93.3	1.5	1	0
2191.4	964.6	1630.3	92.4	1.5	1	0
2224.3	969.2	1662.9	91.7	1.5	1	0
2253.3	973.0	1691.7	92.0	1.5	1	0
2282.3	976.9	1720.4	93.0	1.5	1	0
2311.6	981.0	1749.4	94.1	1.5	1	0
2341.0	985.0	1778.5	95.2	1.5	1	0
2369.8	988.9	1807.0	96.0	1.5	1	0
2399.3	992.9	1836.2	96.7	1.5	1	0
2428.6	996.9	1865.3	97.8	1.5	1	0
2457.8	1000.8	1894.1	99.2	1.5	1	0
2487.0	1004.8	1923.0	100.4	1.5	1	0
2516.1	1008.7	1951.8	101.6	1.5	1	0
2545.4	1012.7	1980.9	102.9	1.5	1	0
2574.6	1016.6	2009.8	104.1	1.5	1	0
2603.8	1020.6	2038.6	105.1	1.5	1	0
2633.0	1024.6	2067.6	105.7	1.5	1	0
2662.1	1028.6	2096.4	105.9	1.5	1	0
2691.3	1032.5	2125.3	105.4	1.5	1	0
2719.3	1036.3	2153.1	104.7	1.5	1	0
2749.4	1040.3	2182.9	103.8	1.5	1	0
2776.7	1043.8	2209.9	102.7	1.5	1	0
2785.9	1044.7	2219.1	102.3	1.5	1	0
2796.2	1045.8	2229.3	101.8	1.5	1	0
2815.1	1047.9	2248.1	101.0	1.5	1	0
2844.5	1051.6	2277.2	100.3	1.5	1	0
2873.6	1055.8	2306.0	100.1	1.5	1	0
2903.4	1060.1	2335.5	100.3	1.5	1	0
2931.7	1063.8	2363.6	100.7	1.5	1	0
2960.8	1067.8	2392.4	101.2	1.5	1	0
2990.0	1071.8	2421.3	101.6	1.5	1	0
3019.2	1076.1	2450.2	102.0	1.5	1	0
3048.3	1080.4	2479.0	102.4	1.5	1	0
3077.4	1084.6	2507.7	102.5	1.5	1	0
3106.5	1088.0	2536.6	102.7	1.5	1	0
3136.1	1090.9	2566.1	102.9	1.5	1	0
3151.8	1092.6	2581.8	102.8	1.5	1	0
3165.5	1094.4	2595.3	102.5	1.5	1	0
3194.7	1098.3	2624.2	101.4	1.5	1	0
3223.7	1102.4	2652.9	99.7	1.5	1	0
3253.1	1106.8	2681.8	96.9	1.5	1	0
3282.4	1111.2	2710.5	93.2	1.5	1	0
3311.3	1115.6	2738.7	88.4	1.5	1	0
3340.1	1119.8	2766.6	82.6	1.5	1	0
3369.7	1123.9	2795.0	75.5	1.5	1	0
3398.6	1127.7	2822.6	67.7	1.5	1	0
3427.6	1131.2	2850.1	59.2	1.5	1	0
3456.1	1134.6	2876.9	50.0	1.5	1	0
3484.9	1138.0	2903.4	39.4	1.5	1	0
3514.4	1141.4	2930.2	27.6	1.5	1	0
3543.5	1145.2	2956.5	15.7	1.5	1	0
3572.7	1149.1	2982.5	3.0	1.5	1	0
3602.0	1152.5	3008.4	-10.3	1.5	1	0
3631.3	1155.8	3033.7	-24.7	1.5	1	0
3660.5	1159.2	3058.2	-40.3	1.5	1	0
3689.4	1162.7	3081.7	-56.6	1.5	1	0
3718.5	1166.0	3104.6	-74.2	1.5	1	0
3747.8	1168.8	3126.8	-93.2	1.5	1	0
3776.8	1171.7	3147.7	-113.1	1.5	1	0
3806.2	1174.8	3167.6	-134.5	1.5	1	0
3835.3	1177.9	3186.3	-156.7	1.5	1	0
3864.6	1180.9	3204.6	-179.2	1.5	1	0
3893.8	1184.0	3223.0	-201.7	1.5	1	0
3909.7	1185.9	3233.1	-213.8	1.5	1	0
3924.9	1187.3	3243.0	-225.4	1.5	1	0
3954.1	1189.1	3263.1	-246.3	1.5	1	0
3984.7	1190.5	3286.1	-266.4	1.5	1	0
4009.2	1191.5	3305.5	-281.5	1.5	1	0
4038.3	1192.5	3328.6	-299.1	1.5	1	0
4067.5	1193.3	3351.5	-317.3	1.5	1	0
4096.7	1193.6	3374.2	-335.6	1.5	1	0
4125.9	1193.7	3397.0	-353.8	1.5	1	0
4155.2	1194.0	3419.5	-372.5	1.5	1	0
4184.3	1194.4	3441.6	-391.5	1.5	1	0
4213.5	1195.0	3463.4	-410.9	1.5	1	0
4242.7	1195.6	3484.4	-431.2	1.5	1	0
4271.9	1196.0	3504.4	-452.4	1.5	1	0
4301.1	1195.8	3524.0	-474.1	1.5	1	0
4330.2	1195.4	3542.7	-496.4	1.5	1	0
4359.5	1195.5	3560.6	-519.6	1.5	1	0
4388.7	1196.1	3577.3	-543.5	1.5	1	0
4417.9	1196.5	3592.9	-568.2	1.5	1	0
4446.8	1196.2	3607.4	-593.3	1.5	1	0
4476.0	1196.0	3621.3	-618.9	1.5	1	0
4505.2	1196.6	3634.8	-644.7	1.5	1	0
4534.4	1196.9	3648.9	-670.3	1.5	1	0
4563.6	1196.7	3663.9	-695.4	1.5	1	0
4592.8	1197.2	3679.1	-720.3	1.5	1	0
4622.0	1197.6	3693.7	-745.5	1.5	1	0
4651.2	1198.0	3708.0	-771.1	1.5	1	0
4680.1	1198.4	3721.8	-796.4	1.5	1	0
4709.3	1198.2	3735.5	-822.2	1.5	1	0
4738.5	1197.3	3749.2	-848.0	1.5	1	0
4767.7	1195.9	3763.2	-873.5	1.5	1	0
4796.7	1194.9	3777.5	-898.7	1.5	1	0
4825.9	1194.6	3792.6	-923.7	1.5	1	0
4855.1	1194.5	3808.5	-948.2	1.5	1	0
4884.3	1194.7	3824.9	-972.4	1.5	1	0
4913.5	1195.0	3841.3	-996.6	1.5	1	0
4942.7	1195.3	3857.3	-1021.0	1.5	1	0
4971.9	1195.4	3873.1	-1045.6	1.5	1	0
5001.1	1195.4	3888.8	-1070.2	1.5	1	0
5030.2	1195.4	3904.2	-1094.9	1.5	1	0
5059.3	1195.4	3919.1	-1119.9	1.5	1	0
5088.5	1195.5	3933.4	-1145.3	1.5	1	0
5117.7	1195.8	3947.4	-1171.0	1.5	1	0
5146.9	1196.2	3961.8	-1196.3	1.5	1	0
5176.1	1197.1	3976.6	-1221.5	1.5	1	0
5205.3	1198.3	3991.3	-1246.7	1.5	1	0
5234.5	1198.8	4006.0	-1271.9	1.5	1	0
