TVD	North	East	Dia	Color	Style
1375.2	-401.8	-474.0	1.5	1.0	0
1376.3	-404.5	-476.7	1.5	1.0	0
1383.8	-422.1	-494.1	1.5	1.0	0
1385.1	-424.9	-496.9	1.5	1.0	0
1389.6	-435.2	-507.3	1.5	1.0	0
1393.9	-445.0	-517.4	1.5	1.0	0
1402.6	-465.3	-537.8	1.5	1.0	0
1406.8	-475.2	-547.6	1.5	1.0	0
1411.2	-485.7	-558.0	1.5	1.0	0
1415.3	-495.4	-567.4	1.5	1.0	0
1420.0	-506.1	-578.1	1.5	1.0	0
1423.8	-514.8	-586.9	1.5	1.0	0
1429.0	-526.5	-598.7	1.5	1.0	0
1432.4	-533.9	-606.4	1.5	1.0	0
1438.1	-546.1	-619.0	1.5	1.0	0
1441.6	-553.6	-626.9	1.5	1.0	0
1447.3	-565.8	-639.7	1.5	1.0	0
1450.5	-572.6	-647.0	1.5	1.0	0
1456.5	-585.1	-660.7	1.5	1.0	0
1459.8	-591.6	-668.1	1.5	1.0	0
1460.8	-593.7	-670.4	1.5	1.0	0
1466.0	-603.8	-682.2	1.5	1.0	0
1468.6	-608.8	-688.0	1.5	1.0	0
1475.5	-622.2	-703.9	1.5	1.0	0
1479.0	-629.3	-712.3	1.5	1.0	0
1483.5	-638.3	-723.0	1.5	1.0	0
1484.6	-640.6	-725.7	1.5	1.0	0
1492.5	-656.6	-744.1	1.5	1.0	0
1493.9	-659.4	-747.2	1.5	1.0	0
1501.8	-675.5	-764.8	1.5	1.0	0
1503.3	-678.7	-768.2	1.5	1.0	0
1512.7	-698.3	-788.9	1.5	1.0	0
1513.1	-699.2	-789.8	1.5	1.0	0
1520.0	-713.4	-804.9	1.5	1.0	0
1522.1	-717.7	-809.7	1.5	1.0	0
1531.5	-737.1	-830.6	1.5	1.0	0
1538.2	-751.0	-845.3	1.5	1.0	0
1540.9	-756.6	-851.3	1.5	1.0	0
1547.3	-769.9	-865.3	1.5	1.0	0
1550.3	-776.3	-871.9	1.5	1.0	0
1556.2	-788.6	-885.2	1.5	1.0	0
1559.5	-795.7	-892.9	1.5	1.0	0
1565.2	-807.4	-906.1	1.5	1.0	0
1568.7	-814.5	-914.3	1.5	1.0	0
1574.1	-825.6	-927.2	1.5	1.0	0
1577.9	-833.1	-936.0	1.5	1.0	0
1583.0	-843.5	-948.1	1.5	1.0	0
1587.0	-851.8	-957.7	1.5	1.0	0
1592.0	-861.8	-969.3	1.5	1.0	0
1596.2	-870.5	-979.2	1.5	1.0	0
1600.9	-879.9	-990.1	1.5	1.0	0
1605.4	-889.1	-1000.9	1.5	1.0	0
1609.8	-897.9	-1011.1	1.5	1.0	0
1614.6	-907.8	-1022.4	1.5	1.0	0
1618.8	-916.3	-1032.0	1.5	1.0	0
1623.8	-926.8	-1043.8	1.5	1.0	0
1627.7	-934.8	-1052.7	1.5	1.0	0
1633.0	-946.0	-1064.9	1.5	1.0	0
1636.6	-953.5	-1073.1	1.5	1.0	0
1639.0	-958.6	-1078.5	1.5	1.0	0
1642.2	-965.5	-1085.8	1.5	1.0	0
1645.6	-972.5	-1093.3	1.5	1.0	0
1651.5	-985.0	-1106.6	1.5	1.0	0
1654.5	-991.4	-1113.6	1.5	1.0	0
1660.7	-1004.3	-1127.6	1.5	1.0	0
1663.5	-1010.2	-1134.0	1.5	1.0	0
1669.9	-1023.5	-1148.7	1.5	1.0	0
1672.5	-1028.8	-1154.6	1.5	1.0	0
1679.3	-1042.5	-1170.0	1.5	1.0	0
1681.6	-1047.1	-1175.1	1.5	1.0	0
1688.8	-1061.3	-1191.4	1.5	1.0	0
1690.4	-1064.2	-1194.8	1.5	1.0	0
1698.3	-1079.9	-1212.9	1.5	1.0	0
1699.6	-1082.4	-1216.0	1.5	1.0	0
1702.0	-1087.4	-1221.8	1.5	1.0	0
1707.4	-1098.4	-1234.7	1.5	1.0	0
1708.4	-1100.4	-1237.1	1.5	1.0	0
1716.5	-1116.9	-1256.5	1.5	1.0	0
1717.3	-1118.6	-1258.6	1.5	1.0	0
1725.5	-1135.4	-1278.3	1.5	1.0	0
1725.8	-1136.1	-1279.2	1.5	1.0	0
1733.3	-1151.4	-1296.9	1.5	1.0	0
1734.7	-1154.0	-1300.0	1.5	1.0	0
1734.8	-1154.3	-1300.3	1.5	1.0	0
1736.6	-1157.9	-1304.4	1.5	2.0	0
1743.9	-1172.9	-1321.3	1.5	2.0	0
1753.2	-1191.8	-1342.7	1.5	2.0	0
1762.5	-1210.8	-1364.1	1.5	2.0	0
1771.7	-1229.7	-1385.5	1.5	2.0	0
1781.0	-1248.6	-1406.8	1.5	2.0	0
1789.7	-1267.5	-1428.4	1.5	2.0	0
1797.1	-1286.4	-1450.5	1.5	2.0	0
1800.1	-1294.9	-1460.7	1.5	2.0	0
1800.2	-1295.2	-1461.0	1.5	2.0	0
1803.5	-1305.1	-1473.1	1.5	2.0	0
1809.6	-1322.9	-1496.4	1.5	2.0	0
1815.7	-1339.7	-1520.5	1.5	2.0	0
1821.7	-1355.4	-1545.4	1.5	2.0	0
