TVD	North	East	Dia	Color
1493.886	-659.374	-747.248	1.5	1
1501.75	-675.467	-764.774	1.5	1
1503.274	-678.698	-768.187	1.5	1
1512.692	-698.266	-788.883	1.5	1
1513.119	-699.181	-789.828	1.5	1
1519.977	-713.354	-804.946	1.5	1
1522.11	-717.713	-809.671	1.5	1
1531.498	-737.128	-830.55	1.5	1
1538.173	-750.966	-845.332	1.5	1
1540.886	-756.636	-851.306	1.5	1
1547.256	-769.925	-865.266	1.5	1
1550.304	-776.265	-871.941	1.5	1
1556.156	-788.64	-885.17	1.5	1
1559.509	-795.68	-892.881	1.5	1
1565.178	-807.385	-906.079	1.5	1
1568.684	-814.548	-914.339	1.5	1
1574.109	-825.551	-927.171	1.5	1
1577.858	-833.14	-936.01	1.5	1
1582.979	-843.534	-948.111	1.5	1
1587.033	-851.764	-957.682	1.5	1
1591.97	-861.822	-969.264	1.5	1
1596.238	-870.478	-979.231	1.5	1
1600.871	-879.866	-990.143	1.5	1
1605.443	-889.071	-1000.902	1.5	1
1609.801	-897.941	-1011.113	1.5	1
1614.648	-907.847	-1022.391	1.5	1
1618.762	-916.32	-1031.961	1.5	1
1623.822	-926.836	-1043.757	1.5	1
1627.662	-934.791	-1052.657	1.5	1
1633.027	-945.977	-1064.941	1.5	1
1636.593	-953.536	-1073.079	1.5	1
1639.001	-958.626	-1078.474	1.5	1
1642.232	-965.484	-1085.789	1.5	1
1645.554	-972.525	-1093.257	1.5	1
1651.467	-985.022	-1106.607	1.5	1
1654.515	-991.423	-1113.556	1.5	1
1660.672	-1004.316	-1127.638	1.5	1
1663.476	-1010.168	-1134.039	1.5	1
1669.908	-1023.549	-1148.73	1.5	1
1672.499	-1028.822	-1154.552	1.5	1
1679.296	-1042.538	-1169.975	1.5	1
1681.551	-1047.079	-1175.126	1.5	1
1688.805	-1061.253	-1191.402	1.5	1
1690.36	-1064.209	-1194.786	1.5	1
1698.315	-1079.876	-1212.921	1.5	1
1699.565	-1082.436	-1215.969	1.5	1
1702.003	-1087.435	-1221.791	1.5	1
1707.368	-1098.377	-1234.714	1.5	1
1708.374	-1100.419	-1237.092	1.5	1
1716.451	-1116.909	-1256.508	1.5	1
1717.304	-1118.646	-1258.55	1.5	1
1725.503	-1135.41	-1278.331	1.5	1
1725.839	-1136.112	-1279.154	1.5	1
1733.337	-1151.352	-1296.924	1.5	1
1734.678	-1154.034	-1299.972	1.5	1
1734.8	-1154.308	-1300.307	1.5	1
1736.568	-1157.935	-1304.392	1.5	2
1743.944	-1172.931	-1321.338	1.5	2
1753.21	-1191.829	-1342.705	1.5	2
1762.476	-1210.757	-1364.102	1.5	2
1771.741	-1229.655	-1385.468	1.5	2
1781.007	-1248.552	-1406.835	1.5	2
1789.664	-1267.48	-1428.445	1.5	2
1797.101	-1286.378	-1450.513	1.5	2
1800.088	-1294.943	-1460.693	1.5	2
1800.179	-1295.248	-1461.028	1.5	2
1803.471	-1305.093	-1473.068	1.5	2
1809.628	-1322.923	-1496.385	1.5	2
1815.694	-1339.687	-1520.525	1.5	2
1821.668	-1355.385	-1545.366	1.5	2
1827.52	-1369.985	-1570.909	1.5	2
1833.281	-1383.457	-1597.091	1.5	2
1838.889	-1395.74	-1623.883	1.5	2
1844.345	-1406.865	-1651.193	1.5	2
1849.648	-1416.802	-1679.021	1.5	2
1854.769	-1425.489	-1707.246	1.5	2
1859.737	-1432.926	-1735.897	1.5	2
1864.523	-1439.144	-1764.853	1.5	2
1869.125	-1444.081	-1794.083	1.5	2
1873.514	-1447.739	-1823.527	1.5	2
1877.69	-1450.116	-1853.123	1.5	2
1881.652	-1451.183	-1882.841	1.5	2
1885.401	-1451	-1912.62	1.5	2
1888.907	-1449.507	-1942.368	1.5	2
1892.168	-1446.733	-1972.056	1.5	2
1895.185	-1442.679	-2001.622	1.5	2
1897.959	-1437.376	-2031.004	1.5	2
1900.458	-1430.792	-2060.174	1.5	2
1902.714	-1422.959	-2089.038	1.5	2
1904.695	-1413.876	-2117.568	1.5	2
1906.433	-1403.604	-2145.701	1.5	2
1906.737	-1401.409	-2151.217	1.5	2
1907.957	-1392.479	-2173.529	1.5	2
1909.481	-1381.354	-2201.327	1.5	2
1911.005	-1370.228	-2229.155	1.5	2
1912.529	-1359.103	-2256.983	1.5	2
1914.053	-1347.978	-2284.781	1.5	2
1915.607	-1336.853	-2312.609	1.5	2
1917.131	-1325.728	-2340.437	1.5	2
1918.655	-1314.602	-2368.235	1.5	2
1920.179	-1303.477	-2396.063	1.5	2
1921.703	-1292.352	-2423.892	1.2	3
1923.227	-1281.227	-2451.689	1.2	3
1924.751	-1270.102	-2479.518	1.2	3
1926.306	-1258.976	-2507.346	1.2	3
1927.83	-1247.851	-2535.174	1.2	3
1929.354	-1236.726	-2562.972	1.2	3
1930.878	-1225.601	-2590.8	1.2	3
1932.402	-1214.476	-2618.628	1.2	3
1932.584	-1213.165	-2621.859	1.2	3
1933.926	-1203.35	-2646.426	1.2	3
1935.45	-1192.225	-2674.254	1.2	3
1937.004	-1181.1	-2702.082	1.2	3
1938.528	-1169.975	-2729.88	1.2	3
1940.052	-1158.85	-2757.708	1.2	3
1941.576	-1147.694	-2785.537	1.2	3
1943.1	-1136.569	-2813.334	1.2	3
1944.624	-1125.444	-2841.163	1.2	3
1946.148	-1114.318	-2868.991	1.2	3
1947.702	-1103.193	-2896.789	1.2	3
1949.226	-1092.068	-2924.617	1.2	3
1950.75	-1080.943	-2952.445	1.2	3
1952.274	-1069.818	-2980.243	1.2	3
1953.798	-1058.692	-3008.071	1.2	3
1955.322	-1047.567	-3035.899	1.2	3
1956.846	-1036.442	-3063.697	1.2	3
1956.999	-1035.406	-3066.288	1.2	3
1958.645	-1024.89	-3091.343	1.2	3
1961.053	-1012.302	-3118.47	1.2	3
1964.101	-998.708	-3145.018	1.2	3
1967.758	-984.138	-3170.987	1.2	3
1972.056	-968.624	-3196.316	1.2	3
1976.933	-952.165	-3220.913	1.2	3
1977.207	-951.281	-3222.193	1.2	3
1982.724	-935.004	-3244.809	1.2	3
1989.887	-917.418	-3268.035	1.2	3
