MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
121.9	121.9	0.4	-0.1	1.5	1	0
152.4	152.4	0.6	-0.4	1.5	1	0
182.9	182.9	1.0	-0.9	1.5	1	0
213.4	213.4	1.2	-0.9	1.5	1	0
243.8	243.8	0.7	0.7	1.5	1	0
274.3	274.1	-0.4	3.7	1.5	1	0
304.8	304.3	-1.9	7.9	1.5	1	0
335.3	334.2	-3.2	13.1	1.5	1	0
365.8	364.1	-4.5	19.3	1.5	1	0
396.2	393.8	-5.7	25.8	1.5	1	0
426.7	423.6	-6.9	32.2	1.5	1	0
457.2	453.4	-8.2	38.5	1.5	1	0
487.7	483.2	-9.5	44.6	1.5	1	0
518.2	513.0	-11.7	50.6	1.5	1	0
548.6	542.8	-15.1	56.3	1.5	1	0
579.1	572.5	-19.5	61.2	1.5	1	0
609.6	602.3	-24.7	65.0	1.5	1	0
640.1	632.1	-30.4	67.8	1.5	1	0
670.6	661.9	-36.8	69.3	1.5	1	0
701.0	691.6	-43.5	70.3	1.5	1	0
731.5	721.3	-50.1	70.8	1.5	1	0
762.0	751.1	-56.6	70.3	1.5	1	0
792.5	780.9	-63.1	69.2	1.5	1	0
823.0	810.6	-69.7	68.1	1.5	1	0
853.4	840.3	-76.3	67.1	1.5	1	0
883.9	870.1	-82.8	66.1	1.5	1	0
914.4	899.9	-89.2	65.1	1.5	1	0
944.9	929.7	-95.5	64.2	1.5	1	0
975.4	959.4	-102.2	63.1	1.5	1	0
1005.8	989.0	-109.5	61.9	1.5	1	0
1036.3	1018.3	-117.6	60.5	1.5	1	0
1066.8	1047.7	-125.8	59.1	1.5	1	0
1097.3	1077.0	-133.9	57.6	1.5	1	0
1127.8	1106.4	-141.9	56.2	1.5	1	0
1158.2	1135.7	-149.9	54.7	1.5	1	0
1188.7	1165.1	-157.9	53.3	1.5	1	0
1219.2	1194.5	-165.9	51.8	1.5	1	0
1249.7	1223.9	-173.9	50.4	1.5	1	0
1280.2	1253.3	-181.9	49.0	1.5	1	0
1310.6	1282.6	-189.9	47.5	1.5	1	0
1341.1	1312.0	-197.9	46.1	1.5	1	0
1371.6	1341.4	-206.0	44.7	1.5	1	0
1402.1	1370.7	-214.0	43.2	1.5	1	0
1432.6	1400.1	-222.0	41.8	1.5	1	0
1463.0	1429.5	-230.0	40.7	1.5	1	0
1493.5	1458.9	-238.1	40.1	1.5	1	0
1524.0	1488.2	-246.2	39.3	1.5	1	0
1554.5	1517.7	-254.2	38.2	1.5	1	0
1585.0	1547.1	-262.1	37.1	1.5	1	0
1615.4	1576.5	-270.0	35.8	1.5	1	0
1645.9	1605.9	-278.0	34.3	1.5	1	0
1676.4	1635.0	-286.5	31.9	1.5	1	0
1706.9	1664.1	-295.2	28.8	1.5	1	0
1737.4	1693.1	-303.5	24.8	1.5	1	0
1767.8	1722.2	-311.2	19.5	1.5	1	0
1798.3	1751.1	-318.2	13.0	1.5	1	0
1828.8	1779.8	-324.5	5.2	1.5	1	0
1859.3	1808.4	-330.2	-3.9	1.5	1	0
1889.8	1836.6	-335.2	-14.2	1.5	1	0
1920.2	1864.5	-339.5	-25.7	1.5	1	0
1950.7	1892.0	-343.1	-38.4	1.5	1	0
1981.2	1919.0	-346.0	-52.2	1.5	1	0
2011.7	1945.4	-348.1	-67.2	1.5	1	0
2042.2	1971.3	-349.6	-83.2	1.5	1	0
2072.6	1996.6	-350.3	-100.3	1.5	1	0
2103.1	2021.1	-350.2	-118.4	1.5	1	0
2133.6	2044.8	-349.5	-137.5	1.5	1	0
2164.1	2067.8	-348.0	-157.5	1.5	1	0
2194.6	2089.8	-345.8	-178.4	1.5	1	0
2225.0	2111.0	-342.8	-200.2	1.5	1	0
2255.5	2131.2	-339.2	-222.7	1.5	1	0
2286.0	2150.4	-334.9	-246.0	1.5	1	0
2316.5	2168.5	-329.8	-269.9	1.5	1	0
2347.0	2185.6	-324.1	-294.5	1.5	1	0
2377.4	2201.6	-317.7	-319.6	1.5	1	0
2407.9	2217.2	-311.1	-345.0	1.5	1	0
2438.4	2232.9	-304.6	-370.3	1.5	1	0
2468.9	2248.5	-298.0	-395.6	1.5	1	0
2499.4	2264.1	-291.4	-421.0	1.5	1	0
2529.8	2279.7	-284.8	-446.3	1.5	1	0
2560.3	2295.4	-278.2	-471.6	1.5	1	0
2590.8	2311.0	-271.6	-496.9	1.5	1	0
2621.3	2326.6	-265.1	-522.3	1.5	1	0
2651.8	2342.2	-258.5	-547.6	1.5	1	0
2682.2	2357.8	-251.9	-573.0	1.5	1	0
2712.7	2373.5	-245.3	-598.3	1.5	1	0
2743.2	2389.1	-238.7	-623.6	1.5	1	0
2773.7	2404.7	-232.1	-648.9	1.5	1	0
2804.2	2420.3	-225.6	-674.3	1.5	1	0
2834.6	2436.0	-219.0	-699.6	1.5	1	0
2865.1	2451.6	-212.4	-724.9	1.5	1	0
2895.6	2467.2	-205.8	-750.3	1.5	1	0
2926.1	2482.8	-199.2	-775.6	1.5	1	0
2956.6	2498.4	-192.6	-800.9	1.5	1	0
2987.0	2514.1	-186.0	-826.3	1.5	1	0
3017.5	2529.7	-179.5	-851.6	1.5	1	0
3048.0	2545.3	-172.9	-876.9	1.5	1	0
3078.5	2561.0	-166.3	-902.2	1.5	1	0
3109.0	2576.6	-159.7	-927.6	1.5	1	0
3139.4	2592.2	-153.1	-952.9	1.5	1	0
3169.9	2607.8	-146.5	-978.2	1.5	1	0
3200.4	2623.4	-139.9	-1003.6	1.5	1	0
3230.9	2639.0	-133.4	-1028.9	1.5	1	0
3261.4	2654.7	-126.8	-1054.2	1.5	1	0
3291.8	2670.3	-120.2	-1079.5	1.5	1	0
3322.3	2685.9	-113.6	-1104.9	1.5	1	0
3352.8	2701.6	-107.0	-1130.2	1.5	1	0
3383.3	2717.2	-100.4	-1155.5	1.5	1	0
3413.8	2732.8	-93.8	-1180.9	1.5	1	0
3444.2	2748.4	-87.3	-1206.2	1.5	1	0
3474.7	2764.0	-80.7	-1231.5	1.5	1	0
3505.2	2779.7	-74.1	-1256.8	1.5	1	0
3535.7	2795.3	-67.5	-1282.2	1.5	1	0
3566.2	2810.9	-60.9	-1307.5	1.5	1	0
3596.6	2826.5	-54.3	-1332.8	1.5	1	0
3627.1	2842.2	-47.8	-1358.2	1.5	1	0
3657.6	2857.7	-40.8	-1383.5	1.5	1	0
3688.1	2872.9	-32.7	-1408.6	1.5	1	0
3718.6	2887.6	-23.3	-1433.6	1.5	1	0
3749.0	2902.0	-12.8	-1458.3	1.5	1	0
3779.5	2915.9	-1.0	-1482.7	1.5	1	0
3810.0	2929.3	12.0	-1506.8	1.5	1	0
3840.5	2942.2	26.2	-1530.5	1.5	1	0
3871.0	2954.6	41.4	-1553.8	1.5	1	0
3901.4	2966.4	57.8	-1576.6	1.5	1	0
3931.9	2977.7	75.3	-1598.9	1.5	1	0
3962.4	2988.3	93.8	-1620.7	1.5	1	0
3992.9	2998.3	113.4	-1641.8	1.5	1	0
4023.4	3007.7	133.9	-1662.3	1.5	1	0
4053.8	3016.5	155.3	-1682.1	1.5	1	0
4084.3	3024.6	177.5	-1701.3	1.5	1	0
4114.8	3032.5	200.1	-1720.2	1.5	1	0
4145.3	3040.3	222.7	-1739.1	1.5	1	0
4175.8	3048.2	245.2	-1758.1	1.5	1	0
4206.2	3056.1	267.8	-1777.0	1.5	1	0
4236.7	3064.0	290.3	-1795.9	1.5	1	0
4267.2	3071.9	312.9	-1814.8	1.5	1	0
4297.7	3079.8	335.4	-1833.8	1.5	1	0
4328.2	3087.7	358.0	-1852.7	1.5	1	0
4358.6	3095.6	380.5	-1871.6	1.5	1	0
4389.1	3103.5	403.1	-1890.5	1.5	1	0
4419.6	3111.4	425.7	-1909.5	1.5	1	0
4450.1	3119.3	448.2	-1928.4	1.5	1	0
4480.6	3127.1	470.8	-1947.3	1.5	1	0
4511.0	3135.0	493.3	-1966.2	1.5	1	0
4541.5	3142.9	515.8	-1985.2	1.5	1	0
4547.1	3144.4	520.0	-1988.6	1.5	1	0
