MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
30.5	30.5	0.0	0.0	1.5	1	0
61.0	61.0	0.0	0.0	1.5	1	0
91.4	91.4	0.0	0.0	1.5	1	0
121.9	121.9	0.0	0.0	1.5	1	0
152.4	152.4	0.0	0.0	1.5	1	0
182.9	182.9	0.0	0.0	1.5	1	0
213.4	213.4	0.0	0.0	1.5	1	0
217.9	217.9	0.0	0.0	1.5	1	0
243.8	243.8	0.0	0.0	1.5	1	0
274.3	274.3	0.0	0.0	1.5	1	0
304.8	304.8	0.0	0.0	1.5	1	0
335.3	335.3	0.0	0.0	1.5	1	0
365.8	365.8	0.0	0.0	1.5	1	0
396.2	396.2	0.0	0.0	1.5	1	0
426.7	426.7	0.0	0.0	1.5	1	0
457.2	457.2	0.0	0.0	1.5	1	0
487.7	487.7	0.0	0.0	1.5	1	0
518.2	518.2	0.0	0.0	1.5	1	0
548.6	548.6	0.0	0.0	1.5	1	0
579.1	579.1	0.0	0.0	1.5	1	0
609.6	609.6	0.0	0.0	1.5	1	0
640.1	640.1	0.0	0.0	1.5	1	0
670.6	670.6	0.0	0.0	1.5	1	0
701.0	701.0	0.0	0.0	1.5	1	0
731.5	731.5	0.0	0.0	1.5	1	0
739.1	739.1	0.0	0.0	1.5	1	0
762.0	762.0	0.0	0.0	1.5	1	0
792.5	792.5	0.0	0.0	1.5	1	0
823.0	823.0	0.0	0.0	1.5	1	0
853.4	853.4	0.0	0.0	1.5	1	0
883.9	883.9	0.0	0.0	1.5	1	0
914.4	914.4	0.0	0.0	1.5	1	0
944.9	944.9	0.0	0.0	1.5	1	0
975.4	975.4	0.0	0.0	1.5	1	0
1005.8	1005.8	0.0	0.0	1.5	1	0
1036.3	1036.3	0.0	0.0	1.5	1	0
1066.8	1066.8	0.0	0.0	1.5	1	0
1097.3	1097.3	0.0	0.0	1.5	1	0
1127.8	1127.8	0.0	0.0	1.5	1	0
1158.2	1158.2	0.0	0.0	1.5	1	0
1188.7	1188.7	0.0	0.0	1.5	1	0
1219.2	1219.2	0.0	0.0	1.5	1	0
1249.7	1249.7	0.0	0.0	1.5	1	0
1280.2	1280.2	0.0	0.0	1.5	1	0
1310.6	1310.6	0.0	0.0	1.5	1	0
1341.1	1341.1	0.0	0.0	1.5	1	0
1371.6	1371.6	0.0	0.0	1.5	1	0
1402.1	1402.1	0.0	0.0	1.5	1	0
1417.3	1417.3	0.0	0.0	1.5	1	0
1432.6	1432.6	0.2	0.0	1.5	1	0
1463.0	1463.0	1.7	0.4	1.5	1	0
1493.5	1493.3	4.8	1.1	1.5	1	0
1524.0	1523.4	9.5	2.2	1.5	1	0
1554.5	1553.2	15.7	3.6	1.5	1	0
1585.0	1582.6	23.3	5.4	1.5	1	0
1615.4	1611.6	32.5	7.5	1.5	1	0
1645.9	1640.1	43.2	10.0	1.5	1	0
1676.4	1667.9	55.3	12.7	1.5	1	0
1706.9	1695.1	68.7	15.8	1.5	1	0
1737.4	1721.5	83.6	19.3	1.5	1	0
1767.8	1747.1	99.8	23.0	1.5	1	0
1798.3	1771.7	117.2	27.0	1.5	1	0
1824.9	1792.4	133.4	30.8	1.5	1	0
1828.8	1795.4	135.9	31.3	1.5	1	0
1859.3	1818.7	155.0	35.7	1.5	1	0
1889.8	1842.0	174.2	40.1	1.5	1	0
1920.2	1865.3	193.3	44.6	1.5	1	0
1950.7	1888.6	212.4	49.0	1.5	1	0
1981.2	1911.9	231.6	53.4	1.5	1	0
2011.7	1935.3	250.7	57.8	1.5	1	0
2042.2	1958.6	269.8	62.2	1.5	1	0
2061.4	1973.3	281.9	65.0	1.5	1	0
2072.6	1981.9	289.0	66.6	1.5	1	0
2103.1	2005.2	308.1	71.0	1.5	1	0
2131.5	2026.9	325.9	75.1	1.5	1	0
2133.6	2028.5	327.3	75.4	1.5	1	0
2164.1	2051.8	346.6	78.9	1.5	1	0
2194.6	2075.0	366.2	80.9	1.5	1	0
2215.2	2090.6	379.7	81.4	1.5	1	0
2225.0	2098.1	386.2	81.4	1.5	1	0
2255.5	2121.1	406.1	81.5	1.5	1	0
2286.0	2144.1	426.1	81.7	1.5	1	0
