MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
115.8	115.8	0.0	-0.2	1.5	1	0
126.0	126.0	0.0	-0.2	1.5	1	0
141.3	141.3	0.0	-0.2	1.5	1	0
156.5	156.5	0.0	-0.1	1.5	1	0
171.8	171.8	0.1	0.0	1.5	1	0
187.0	187.0	0.3	0.1	1.5	1	0
198.6	198.6	0.5	0.3	1.5	1	0
210.6	210.6	0.7	0.5	1.5	1	0
219.8	219.8	0.9	0.6	1.5	1	0
233.5	233.4	1.1	0.8	1.5	1	0
247.2	247.2	1.5	1.0	1.5	1	0
276.5	276.4	2.6	1.4	1.5	1	0
306.0	305.9	4.5	1.6	1.5	1	0
334.7	334.4	7.2	1.5	1.5	1	0
364.2	363.7	11.0	1.2	1.5	1	0
393.2	392.3	16.0	0.5	1.5	1	0
421.2	419.7	21.5	-0.3	1.5	1	0
450.2	448.0	27.8	-1.3	1.5	1	0
479.1	476.1	34.4	-3.0	1.5	1	0
508.4	504.4	41.4	-5.9	1.5	1	0
537.1	531.8	48.8	-9.8	1.5	1	0
566.0	559.1	57.2	-14.6	1.5	1	0
595.0	585.9	66.4	-20.6	1.5	1	0
623.9	612.1	76.4	-27.7	1.5	1	0
653.5	638.4	87.7	-35.0	1.5	1	0
682.1	663.6	99.2	-42.3	1.5	1	0
698.9	678.2	106.0	-46.9	1.5	1	0
727.9	703.1	118.2	-55.4	1.5	1	0
756.8	727.5	130.6	-64.8	1.5	1	0
786.1	751.5	143.4	-75.5	1.5	1	0
815.0	774.5	156.3	-87.5	1.5	1	0
844.0	796.6	169.6	-100.6	1.5	1	0
872.9	818.2	183.0	-114.5	1.5	1	0
901.9	839.9	196.3	-128.3	1.5	1	0
930.9	861.9	209.0	-142.2	1.5	1	0
959.8	883.7	221.4	-156.7	1.5	1	0
988.8	904.6	234.2	-172.2	1.5	1	0
1007.4	917.7	242.6	-182.3	1.5	1	0
1052.5	949.6	263.0	-206.8	1.5	1	0
1081.4	970.2	275.8	-222.7	1.5	1	0
1110.4	990.3	288.3	-239.3	1.5	1	0
1139.6	1010.3	300.1	-257.1	1.5	1	0
1168.6	1030.0	310.8	-275.4	1.5	1	0
1197.3	1049.5	320.4	-294.0	1.5	1	0
1226.2	1069.1	329.1	-313.5	1.5	1	0
1255.2	1088.0	336.8	-334.1	1.5	1	0
1284.1	1106.2	343.7	-355.5	1.5	1	0
1313.1	1123.8	349.8	-377.7	1.5	1	0
1342.0	1140.6	355.0	-400.7	1.5	1	0
1371.0	1156.9	359.0	-424.3	1.5	1	0
1399.9	1172.7	361.8	-448.4	1.5	1	0
1428.9	1187.9	363.6	-473.0	1.5	1	0
1457.9	1202.2	364.4	-498.1	1.5	1	0
1486.8	1215.7	364.0	-523.7	1.5	1	0
1515.5	1228.2	362.3	-549.5	1.5	1	0
1544.4	1239.6	359.8	-576.0	1.5	1	0
1573.4	1250.4	357.0	-602.7	1.5	1	0
1602.3	1261.1	354.3	-629.4	1.5	1	0
1631.3	1271.8	351.7	-656.2	1.5	1	0
1660.2	1282.5	349.5	-683.0	1.5	1	0
1689.2	1293.4	347.5	-709.8	1.5	1	0
1718.2	1304.3	345.2	-736.5	1.5	1	0
1747.1	1315.2	342.6	-763.2	1.5	1	0
1776.1	1326.2	339.9	-789.9	1.5	1	0
1804.7	1337.2	337.0	-816.1	1.5	1	0
1833.7	1348.6	333.9	-842.6	1.5	1	0
1862.6	1359.7	330.7	-869.1	1.5	1	0
1891.6	1370.5	327.4	-895.8	1.5	1	0
1920.5	1381.5	324.2	-922.4	1.5	1	0
1949.8	1392.6	320.8	-949.3	1.5	1	0
1978.5	1403.3	317.4	-975.6	1.5	1	0
2007.4	1414.2	313.8	-1002.2	1.5	1	0
2036.4	1425.1	310.1	-1028.8	1.5	1	0
2065.3	1436.1	306.6	-1055.3	1.5	1	0
2094.3	1447.1	303.3	-1081.9	1.5	1	0
2123.2	1458.2	300.4	-1108.5	1.5	1	0
2152.2	1469.3	297.8	-1135.1	1.5	1	0
2180.8	1480.4	295.5	-1161.4	1.5	1	0
2194.9	1486.3	294.3	-1174.1	1.5	1	0
2223.8	1499.8	290.8	-1199.4	1.5	1	0
2252.8	1513.4	286.5	-1224.7	1.5	1	0
2281.7	1526.7	281.4	-1249.8	1.5	1	0
2310.7	1540.1	276.0	-1274.9	1.5	1	0
2339.6	1553.4	270.5	-1300.1	1.5	1	0
2368.6	1566.7	265.0	-1325.2	1.5	1	0
2397.6	1580.0	259.6	-1350.3	1.5	1	0
2426.5	1593.3	254.5	-1375.5	1.5	1	0
2455.2	1606.2	250.4	-1400.8	1.5	1	0
2484.1	1618.4	247.0	-1426.9	1.5	1	0
2513.1	1630.1	244.0	-1453.1	1.5	1	0
2542.0	1641.3	240.9	-1479.7	1.5	1	0
2571.0	1651.7	237.8	-1506.5	1.5	1	0
2599.9	1661.2	234.8	-1533.7	1.5	1	0
