MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
115.8	115.8	-0.4	-0.1	1.5	1	0
126.0	126.0	-0.5	-0.2	1.5	1	0
141.3	141.3	-0.5	-0.3	1.5	1	0
156.5	156.5	-0.5	-0.5	1.5	1	0
171.8	171.8	-0.4	-0.7	1.5	1	0
187.0	187.0	-0.3	-0.9	1.5	1	0
198.6	198.6	-0.1	-1.2	1.5	1	0
213.4	213.4	0.2	-1.4	1.5	1	0
231.6	231.6	0.2	-1.2	1.5	1	0
251.8	251.7	0.0	-0.2	1.5	1	0
261.2	261.2	-0.1	0.3	1.5	1	0
288.3	288.2	0.0	1.9	1.5	1	0
303.6	303.5	0.1	2.7	1.5	1	0
332.5	332.3	0.0	4.8	1.5	1	0
361.5	361.2	-0.8	7.4	1.5	1	0
390.4	390.0	-1.4	10.0	1.5	1	0
419.4	418.9	-1.3	12.4	1.5	1	0
448.4	447.7	-0.9	15.1	1.5	1	0
477.3	476.5	-0.5	18.0	1.5	1	0
506.3	505.3	-0.2	21.1	1.5	1	0
535.2	534.1	0.1	24.0	1.5	1	0
564.2	562.9	0.3	26.7	1.5	1	0
592.8	591.4	0.5	29.4	1.5	1	0
621.8	620.2	0.6	32.4	1.5	1	0
650.7	649.0	0.7	35.3	1.5	1	0
679.7	677.8	1.0	38.3	1.5	1	0
708.7	706.6	1.2	41.3	1.5	1	0
737.6	735.5	1.5	44.3	1.5	1	0
766.6	764.3	1.8	47.2	1.5	1	0
795.5	793.1	2.1	50.0	1.5	1	0
824.2	821.6	2.5	52.5	1.5	1	0
853.1	850.4	3.0	55.4	1.5	1	0
882.1	879.2	3.2	58.3	1.5	1	0
911.0	908.0	3.3	61.2	1.5	1	0
940.0	936.8	3.5	64.0	1.5	1	0
969.0	965.7	3.7	66.8	1.5	1	0
997.9	994.5	4.0	69.9	1.5	1	0
1010.7	1007.2	4.1	71.3	1.5	1	0
1030.5	1026.9	4.3	73.5	1.5	1	0
1059.5	1055.7	4.1	76.4	1.5	1	0
1088.4	1084.5	3.2	79.2	1.5	1	0
1117.4	1113.3	1.7	81.8	1.5	1	0
1146.4	1142.1	-0.3	84.4	1.5	1	0
1175.3	1170.8	-2.8	87.0	1.5	1	0
1204.3	1199.5	-5.9	89.3	1.5	1	0
1233.2	1228.1	-9.7	91.3	1.5	1	0
1262.2	1256.7	-14.0	93.0	1.5	1	0
1291.1	1285.2	-19.0	94.4	1.5	1	0
