MD	TVD	North	East	Dia	Color	Style
515.1	510.1	8.1	50.9	1.5	1	0
518.2	513.0	8.1	51.6	1.5	1	0
521.2	516.0	8.1	52.4	1.5	1	0
524.3	518.9	8.1	53.2	1.5	1	0
527.3	521.9	8.1	53.9	1.5	1	0
530.4	524.8	8.1	54.7	1.5	1	0
533.4	527.8	8.1	55.4	1.5	1	0
536.4	530.7	8.0	56.2	1.5	1	0
539.5	533.7	8.0	56.9	1.5	1	0
542.5	536.6	8.0	57.7	1.5	1	0
545.6	539.6	7.9	58.5	1.5	1	0
548.6	542.5	7.8	59.2	1.5	1	0
551.7	545.5	7.7	60.0	1.5	1	0
554.7	548.4	7.7	60.7	1.5	1	0
557.8	551.4	7.6	61.5	1.5	1	0
560.8	554.3	7.4	62.2	1.5	1	0
563.9	557.3	7.3	63.0	1.5	1	0
566.9	560.2	7.1	63.7	1.5	1	0
570.0	563.2	7.0	64.5	1.5	1	0
573.0	566.1	6.8	65.2	1.5	1	0
576.1	569.1	6.6	66.0	1.5	1	0
579.1	572.0	6.5	66.7	1.5	1	0
582.2	575.0	6.3	67.4	1.5	1	0
585.2	578.0	6.1	68.2	1.5	1	0
588.3	580.9	5.9	68.9	1.5	1	0
591.3	583.8	5.6	69.6	1.5	1	0
594.4	586.8	5.4	70.3	1.5	1	0
597.4	589.8	5.2	71.1	1.5	1	0
600.5	592.7	4.9	71.8	1.5	1	0
603.5	595.6	4.7	72.6	1.5	1	0
606.6	598.6	4.4	73.3	1.5	1	0
609.6	601.5	4.1	74.0	1.5	1	0
612.6	604.5	3.9	74.7	1.5	1	0
615.7	607.4	3.6	75.4	1.5	1	0
618.7	610.4	3.3	76.1	1.5	1	0
621.8	613.3	2.9	76.8	1.5	1	0
624.8	616.3	2.6	77.5	1.5	1	0
627.9	619.2	2.2	78.2	1.5	1	0
630.9	622.2	1.9	78.9	1.5	1	0
634.0	625.1	1.5	79.5	1.5	1	0
637.0	628.1	1.1	80.2	1.5	1	0
640.1	631.1	0.7	80.8	1.5	1	0
643.1	634.0	0.3	81.4	1.5	1	0
646.2	636.9	-0.1	82.1	1.5	1	0
649.2	639.9	-0.5	82.8	1.5	1	0
652.3	642.9	-1.0	83.4	1.5	1	0
655.3	645.8	-1.5	84.0	1.5	1	0
658.4	648.7	-1.9	84.7	1.5	1	0
661.4	651.7	-2.4	85.3	1.5	1	0
664.5	654.6	-2.9	85.9	1.5	1	0
667.5	657.5	-3.4	86.6	1.5	1	0
670.6	660.5	-3.9	87.2	1.5	1	0
673.6	663.4	-4.4	87.8	1.5	1	0
676.7	666.4	-4.9	88.5	1.5	1	0
679.7	669.3	-5.5	89.1	1.5	1	0
682.8	672.2	-6.0	89.7	1.5	1	0
685.8	675.2	-6.6	90.3	1.5	1	0
688.8	678.1	-7.1	91.0	1.5	1	0
691.9	681.0	-7.7	91.6	1.5	1	0
694.9	684.0	-8.2	92.1	1.5	1	0
698.0	686.9	-8.8	92.8	1.5	1	0
701.0	689.8	-9.4	93.3	1.5	1	0
704.1	692.7	-10.0	93.9	1.5	1	0
707.1	695.7	-10.6	94.5	1.5	1	0
710.2	698.6	-11.2	95.1	1.5	1	0
713.2	701.6	-11.9	95.6	1.5	1	0
716.3	704.5	-12.5	96.2	1.5	1	0
719.3	707.4	-13.1	96.7	1.5	1	0
722.4	710.3	-13.8	97.3	1.5	1	0
725.4	713.3	-14.4	97.8	1.5	1	0
728.5	716.2	-15.1	98.3	1.5	1	0
731.5	719.1	-15.8	98.8	1.5	1	0
734.6	722.0	-16.5	99.4	1.5	1	0
737.6	725.0	-17.1	99.9	1.5	1	0
740.7	727.9	-17.8	100.4	1.5	1	0
743.7	730.8	-18.6	100.9	1.5	1	0
746.8	733.7	-19.3	101.4	1.5	1	0
749.8	736.7	-20.0	101.9	1.5	1	0
752.9	739.6	-20.7	102.4	1.5	1	0
755.9	742.5	-21.5	102.9	1.5	1	0
759.0	745.4	-22.2	103.4	1.5	1	0
762.0	748.3	-23.0	103.9	1.5	1	0
765.0	751.2	-23.7	104.4	1.5	1	0
768.1	754.1	-24.5	104.9	1.5	1	0
771.1	757.0	-25.3	105.4	1.5	1	0
774.2	759.9	-26.1	105.9	1.5	1	0
777.2	762.8	-26.9	106.4	1.5	1	0
780.3	765.7	-27.7	106.9	1.5	1	0
783.3	768.6	-28.6	107.4	1.5	1	0
786.4	771.5	-29.4	107.9	1.5	1	0
789.4	774.4	-30.2	108.4	1.5	1	0
792.5	777.2	-31.1	108.9	1.5	1	0
795.5	780.1	-31.9	109.5	1.5	1	0
798.6	783.0	-32.8	110.0	1.5	1	0
801.6	785.9	-33.7	110.5	1.5	1	0
804.7	788.7	-34.6	111.0	1.5	1	0
807.7	791.6	-35.5	111.6	1.5	1	0
810.8	794.5	-36.4	112.1	1.5	1	0
813.8	797.3	-37.3	112.7	1.5	1	0
816.9	800.2	-38.3	113.2	1.5	1	0
819.9	803.0	-39.2	113.8	1.5	1	0
823.0	805.8	-40.2	114.3	1.5	1	0
826.0	808.7	-41.2	114.8	1.5	1	0
829.1	811.5	-42.1	115.4	1.5	1	0
832.1	814.4	-43.1	116.0	1.5	1	0
835.2	817.2	-44.0	116.5	1.5	1	0
838.2	820.0	-45.0	117.1	1.5	1	0
841.2	822.9	-46.0	117.7	1.5	1	0
844.3	825.7	-47.0	118.2	1.5	1	0
847.3	828.5	-48.0	118.8	1.5	1	0
850.4	831.3	-49.0	119.3	1.5	1	0
853.4	834.1	-50.0	119.9	1.5	1	0
856.5	837.0	-51.0	120.5	1.5	1	0
859.5	839.8	-52.0	121.1	1.5	1	0
862.6	842.6	-53.0	121.6	1.5	1	0
865.6	845.4	-54.1	122.2	1.5	1	0
868.7	848.2	-55.1	122.8	1.5	1	0
871.7	851.0	-56.2	123.4	1.5	1	0
874.8	853.8	-57.3	123.9	1.5	1	0
877.8	856.6	-58.4	124.5	1.5	1	0
880.9	859.4	-59.5	125.1	1.5	1	0
883.9	862.1	-60.6	125.6	1.5	1	0
887.0	864.9	-61.7	126.2	1.5	1	0
890.0	867.7	-62.8	126.7	1.5	1	0
893.1	870.5	-63.9	127.2	1.5	1	0
896.1	873.3	-65.0	127.7	1.5	1	0
899.2	876.1	-66.1	128.2	1.5	1	0
902.2	878.9	-67.3	128.7	1.5	1	0
905.3	881.7	-68.4	129.1	1.5	1	0
908.3	884.5	-69.6	129.6	1.5	1	0
911.4	887.3	-70.7	130.1	1.5	1	0
914.4	890.0	-71.9	130.5	1.5	1	0
917.4	892.8	-73.1	130.9	1.5	1	0
920.5	895.6	-74.2	131.4	1.5	1	0
923.5	898.3	-75.5	131.8	1.5	1	0
926.6	901.1	-76.7	132.3	1.5	1	0
929.6	903.8	-78.0	132.7	1.5	1	0
932.7	906.6	-79.2	133.1	1.5	1	0
935.7	909.3	-80.5	133.5	1.5	1	0
938.8	912.0	-81.8	134.0	1.5	1	0
941.8	914.8	-83.1	134.4	1.5	1	0
944.9	917.5	-84.4	134.8	1.5	1	0
947.9	920.2	-85.7	135.1	1.5	1	0
951.0	922.9	-87.1	135.5	1.5	1	0
954.0	925.6	-88.4	135.9	1.5	1	0
957.1	928.4	-89.7	136.2	1.5	1	0
960.1	931.1	-91.0	136.6	1.5	1	0
963.2	933.8	-92.4	136.9	1.5	1	0
966.2	936.5	-93.8	137.3	1.5	1	0
969.3	939.2	-95.1	137.6	1.5	1	0
972.3	942.0	-96.4	137.9	1.5	1	0
975.4	944.7	-97.8	138.2	1.5	1	0
978.4	947.4	-99.2	138.5	1.5	1	0
981.5	950.1	-100.5	138.8	1.5	1	0
984.5	952.8	-101.9	139.1	1.5	1	0
987.6	955.5	-103.3	139.5	1.5	1	0
990.6	958.2	-104.7	139.8	1.5	1	0
993.6	960.9	-106.1	140.1	1.5	1	0
996.7	963.5	-107.5	140.5	1.5	1	0
999.7	966.2	-108.9	140.8	1.5	1	0
1002.8	968.9	-110.4	141.1	1.5	1	0
1005.8	971.6	-111.8	141.4	1.5	1	0
1008.9	974.2	-113.2	141.7	1.5	1	0
1011.9	976.9	-114.7	142.1	1.5	1	0
1015.0	979.5	-116.1	142.4	1.5	1	0
1018.0	982.2	-117.6	142.7	1.5	1	0
1021.1	984.8	-119.0	143.0	1.5	1	0
1024.1	987.5	-120.5	143.4	1.5	1	0
1027.2	990.1	-122.0	143.7	1.5	1	0
1030.2	992.8	-123.5	144.0	1.5	1	0
1033.3	995.4	-124.9	144.4	1.5	1	0
1036.3	998.1	-126.4	144.7	1.5	1	0
1039.4	1000.7	-127.9	145.0	1.5	1	0
1042.4	1003.4	-129.4	145.3	1.5	1	0
1045.5	1006.0	-130.9	145.6	1.5	1	0
1048.5	1008.7	-132.3	145.9	1.5	1	0
1051.6	1011.3	-133.8	146.2	1.5	1	0
1054.6	1014.0	-135.2	146.6	1.5	1	0
1057.7	1016.6	-136.7	146.9	1.5	1	0
1060.7	1019.3	-138.2	147.2	1.5	1	0
1063.8	1022.0	-139.6	147.5	1.5	1	0
1066.8	1024.6	-141.1	147.8	1.5	1	0
1069.8	1027.3	-142.6	148.2	1.5	1	0
1072.9	1029.9	-144.0	148.5	1.5	1	0
1075.9	1032.5	-145.5	148.8	1.5	1	0
1079.0	1035.2	-147.0	149.1	1.5	1	0
1082.0	1037.8	-148.5	149.4	1.5	1	0
1085.1	1040.4	-150.0	149.7	1.5	1	0
1088.1	1043.1	-151.5	150.1	1.5	1	0
1091.2	1045.7	-153.1	150.4	1.5	1	0
1094.2	1048.3	-154.6	150.7	1.5	1	0
1097.3	1051.0	-156.1	151.0	1.5	1	0
