MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
30.5	30.5	0.0	0.0	1.5	1	0
61.0	61.0	0.0	0.0	1.5	1	0
91.4	91.4	0.0	0.0	1.5	1	0
121.9	121.9	0.0	0.0	1.5	1	0
152.4	152.4	0.0	0.0	1.5	1	0
182.9	182.9	0.0	0.0	1.5	1	0
213.4	213.4	0.0	0.0	1.5	1	0
243.8	243.8	0.0	0.0	1.5	1	0
274.3	274.3	0.0	0.0	1.5	1	0
304.8	304.8	0.0	0.0	1.5	1	0
330.7	330.7	0.2	0.2	1.5	1	0
335.3	335.3	0.2	0.2	1.5	1	0
365.8	365.8	0.8	0.8	1.5	1	0
396.2	396.2	1.0	1.1	1.5	1	0
426.7	426.7	0.9	1.0	1.5	1	0
428.2	428.2	0.9	1.0	1.5	1	0
457.2	457.2	0.9	0.9	1.5	1	0
487.7	487.6	1.4	1.5	1.5	1	0
518.2	518.1	2.3	2.5	1.5	1	0
548.6	548.6	2.7	2.9	1.5	1	0
579.1	579.1	2.6	2.7	1.5	1	0
609.6	609.5	2.4	2.6	1.5	1	0
640.1	640.0	2.9	3.1	1.5	1	0
670.6	670.4	3.9	4.1	1.5	1	0
701.0	700.9	4.2	4.5	1.5	1	0
731.5	731.4	4.0	4.3	1.5	1	0
762.0	761.9	3.8	4.1	1.5	1	0
792.5	792.4	4.3	4.6	1.5	1	0
823.0	822.8	5.3	5.6	1.5	1	0
853.4	853.3	5.7	6.0	1.5	1	0
883.9	883.7	5.5	5.8	1.5	1	0
914.4	914.2	5.3	5.6	1.5	1	0
944.9	944.7	5.7	6.1	1.5	1	0
975.4	975.1	6.7	7.1	1.5	1	0
1005.8	1005.6	7.1	7.5	1.5	1	0
1036.3	1036.1	6.9	7.3	1.5	1	0
1066.8	1066.6	6.7	7.1	1.5	1	0
1092.7	1092.5	7.1	7.5	1.5	1	0
1097.3	1097.0	7.2	7.7	1.5	1	0
1127.8	1127.5	8.2	8.7	1.5	1	0
1158.2	1158.0	8.6	9.1	1.5	1	0
1188.7	1188.4	8.5	9.0	1.5	1	0
1219.2	1218.9	8.4	8.9	1.5	1	0
1245.1	1244.8	8.7	9.2	1.5	1	0
1249.7	1249.4	8.8	9.4	1.5	1	0
1275.6	1275.3	9.6	10.2	1.5	1	0
1280.2	1279.8	9.8	10.3	1.5	1	0
1310.6	1310.3	10.5	11.1	1.5	1	0
1341.1	1340.8	11.2	11.9	1.5	1	0
1371.6	1371.2	12.6	13.4	1.5	1	0
1402.1	1401.3	15.5	16.3	1.5	1	0
1432.6	1431.3	19.3	20.5	1.5	1	0
1463.0	1461.2	23.6	25.0	1.5	1	0
1493.5	1490.9	28.1	29.8	1.5	1	0
1524.0	1520.4	33.3	35.3	1.5	1	0
1554.5	1549.5	39.6	41.9	1.5	1	0
1585.0	1578.1	46.8	49.5	1.5	1	0
1615.4	1606.5	54.4	57.6	1.5	1	0
1645.9	1634.5	62.6	66.3	1.5	1	0
1676.4	1662.1	71.5	75.7	1.5	1	0
1706.9	1689.2	81.1	85.8	1.5	1	0
1737.4	1715.8	91.3	96.7	1.5	1	0
1767.8	1741.9	102.2	108.2	1.5	1	0
1798.3	1767.3	113.7	120.4	1.5	1	0
1828.8	1792.2	125.8	133.2	1.5	1	0
1859.3	1816.5	138.5	146.6	1.5	1	0
1889.8	1840.0	151.7	160.6	1.5	1	0
1893.2	1842.7	153.3	162.2	1.5	1	0
1908.6	1854.4	160.1	169.5	1.5	1	0
1920.2	1863.2	165.3	175.0	1.5	1	0
1950.7	1886.4	178.9	189.4	1.5	1	0
1981.2	1909.5	192.5	203.8	1.5	1	0
2011.7	1932.7	206.1	218.2	1.5	1	0
2042.2	1955.9	219.7	232.6	1.5	1	0
2072.6	1979.0	233.4	247.0	1.5	1	0
2103.1	2002.2	246.9	261.4	1.5	1	0
2133.6	2025.4	260.5	275.8	1.5	1	0
2164.1	2048.6	274.1	290.2	1.5	1	0
2194.6	2071.7	287.8	304.6	1.5	1	0
2212.6	2085.4	295.8	313.1	1.5	1	0
2225.0	2094.8	301.4	319.1	1.5	1	0
2231.8	2099.9	304.5	322.3	1.5	1	0
