MD	TVD	North	East	Dia	Color	Style
0.0	0.0	0.0	0.0	1.5	1	0
115.8	115.8	-0.2	-0.3	1.5	1	0
126.0	126.0	-0.2	-0.3	1.5	1	0
141.3	141.3	-0.2	-0.4	1.5	1	0
156.5	156.5	-0.1	-0.5	1.5	1	0
171.8	171.8	0.0	-0.5	1.5	1	0
187.0	187.0	0.2	-0.4	1.5	1	0
198.6	198.6	0.3	-0.4	1.5	1	0
210.3	210.3	0.5	-0.4	1.5	1	0
229.8	229.8	0.3	-0.3	1.5	1	0
257.3	257.2	-0.6	-0.2	1.5	1	0
272.5	272.5	-1.4	-0.1	1.5	1	0
286.5	286.5	-2.3	-0.1	1.5	1	0
301.4	301.4	-3.3	-0.1	1.5	1	0
330.4	330.2	-5.2	0.0	1.5	1	0
359.1	358.8	-7.1	0.6	1.5	1	0
388.3	388.0	-9.0	1.2	1.5	1	0
417.0	416.6	-10.7	1.2	1.5	1	0
445.9	445.6	-11.5	0.4	1.5	1	0
474.9	474.5	-11.6	-0.9	1.5	1	0
503.8	503.4	-11.5	-2.6	1.5	1	0
532.8	532.2	-10.4	-5.1	1.5	1	0
561.7	560.8	-7.9	-8.5	1.5	1	0
590.7	589.1	-3.9	-13.1	1.5	1	0
619.7	617.2	1.0	-18.4	1.5	1	0
648.6	645.2	6.2	-23.7	1.5	1	0
677.6	673.0	11.8	-29.2	1.5	1	0
706.5	700.7	18.2	-35.0	1.5	1	0
735.5	728.0	25.4	-41.4	1.5	1	0
764.1	754.6	33.6	-48.2	1.5	1	0
793.1	781.1	42.5	-55.8	1.5	1	0
822.0	807.3	51.3	-64.2	1.5	1	0
851.0	833.4	60.3	-73.0	1.5	1	0
880.0	859.6	69.3	-81.6	1.5	1	0
908.9	885.8	78.4	-89.6	1.5	1	0
937.9	912.1	87.6	-97.5	1.5	1	0
966.8	938.5	96.6	-105.4	1.5	1	0
995.8	965.0	105.3	-113.3	1.5	1	0
1024.4	991.4	113.5	-120.7	1.5	1	0
1072.6	1036.3	126.1	-132.8	1.5	1	0
1101.5	1063.4	133.1	-140.0	1.5	1	0
1130.2	1090.5	139.2	-147.0	1.5	1	0
1159.2	1118.1	144.6	-153.9	1.5	1	0
1188.1	1145.9	149.5	-160.6	1.5	1	0
1217.1	1173.8	153.5	-167.0	1.5	1	0
1246.0	1202.0	156.4	-173.3	1.5	1	0
1275.0	1230.3	158.1	-179.0	1.5	1	0
1303.9	1258.7	159.4	-184.3	1.5	1	0
1332.9	1287.1	161.1	-189.6	1.5	1	0
1361.8	1315.5	163.1	-195.1	1.5	1	0
1390.8	1343.9	165.2	-200.5	1.5	1	0
1419.8	1372.2	167.6	-205.8	1.5	1	0
1448.7	1400.6	169.8	-211.2	1.5	1	0
1477.4	1428.7	171.6	-216.7	1.5	1	0
1506.3	1457.0	173.2	-222.3	1.5	1	0
1535.3	1485.4	174.9	-227.8	1.5	1	0
1564.2	1513.8	176.6	-233.4	1.5	1	0
1593.2	1542.0	178.2	-239.4	1.5	1	0
1621.8	1569.9	179.7	-245.9	1.5	1	0
1650.8	1597.9	180.8	-253.2	1.5	1	0
1679.8	1625.8	181.0	-261.1	1.5	1	0
1708.7	1653.5	179.7	-269.3	1.5	1	0
1737.7	1681.2	177.2	-277.5	1.5	1	0
1766.6	1708.8	173.8	-285.4	1.5	1	0
1795.0	1735.9	169.4	-292.6	1.5	1	0
1823.9	1763.4	164.2	-300.0	1.5	1	0
1852.9	1790.4	158.0	-308.2	1.5	1	0
1882.4	1817.1	150.2	-318.2	1.5	1	0
1911.1	1841.9	140.9	-329.1	1.5	1	0
1939.7	1865.8	129.8	-340.5	1.5	1	0
1968.7	1889.0	117.6	-352.7	1.5	1	0
1997.7	1911.0	104.7	-366.3	1.5	1	0
2026.6	1931.7	91.1	-381.3	1.5	1	0
2055.6	1951.0	76.8	-397.5	1.5	1	0
2084.5	1969.0	61.5	-414.2	1.5	1	0
2113.5	1986.4	45.1	-430.6	1.5	1	0
2142.4	2003.8	27.6	-445.6	1.5	1	0
2171.1	2021.9	9.8	-459.0	1.5	1	0
2200.0	2041.0	-8.3	-471.0	1.5	1	0
2229.0	2060.8	-26.8	-481.4	1.5	1	0
2258.0	2080.7	-45.8	-490.3	1.5	1	0
2286.9	2100.7	-65.4	-497.6	1.5	1	0
2315.9	2120.5	-85.6	-503.7	1.5	1	0
2344.5	2139.2	-106.6	-509.5	1.5	1	0
2373.5	2156.7	-128.7	-516.1	1.5	1	0
2402.4	2173.0	-151.5	-523.3	1.5	1	0
2431.4	2188.3	-175.0	-530.5	1.5	1	0
2460.3	2202.5	-199.1	-537.9	1.5	1	0
2489.3	2215.3	-223.9	-545.7	1.5	1	0
2518.3	2226.4	-249.3	-554.1	1.5	1	0
2547.2	2236.1	-275.1	-562.9	1.5	1	0
2576.2	2244.7	-301.3	-571.7	1.5	1	0
2605.1	2251.5	-328.1	-580.3	1.5	1	0
2634.1	2256.5	-355.3	-588.9	1.5	1	0
2662.7	2259.7	-382.4	-597.6	1.5	1	0
2691.7	2261.9	-409.8	-606.6	1.5	1	0
2710.9	2263.2	-427.9	-612.8	1.5	1	0
2739.8	2264.9	-455.3	-622.1	1.5	1	0
2768.8	2265.8	-482.9	-631.0	1.5	1	0
2776.7	2265.8	-490.4	-633.4	1.5	1	0
2797.5	2265.9	-510.1	-639.9	1.5	1	0
2826.4	2266.0	-537.5	-649.3	1.5	1	0
2855.4	2266.0	-564.6	-659.4	1.5	1	0
2884.3	2266.0	-591.8	-669.4	1.5	1	0
2913.3	2266.5	-619.0	-679.2	1.5	1	0
2942.2	2267.6	-646.1	-689.3	1.5	1	0
2952.3	2267.9	-655.6	-692.8	1.5	1	0
